,experiment,metric,measure,n_subj,n_item,effect_size,failed_mean,power
1,Coordination,go_past_time,MoTR,10,24,0.06390356177325,0,0.09
2,Coordination,go_past_time,MoTR,20,24,0.06390356177325,0,0.141414141414141
3,Coordination,go_past_time,MoTR,40,24,0.06390356177325,0.01,0.313131313131313
4,Coordination,go_past_time,MoTR,60,24,0.06390356177325,0.02,0.43
5,Coordination,go_past_time,MoTR,80,24,0.06390356177325,0.01,0.595959595959596
6,Coordination,go_past_time,MoTR,100,24,0.06390356177325,0,0.666666666666667
7,Coordination,go_past_time,MoTR,120,24,0.06390356177325,0.02,0.71875
8,Coordination,go_past_time,MoTR,140,24,0.06390356177325,0.03,0.791666666666667
9,Coordination,go_past_time,MoTR,160,24,0.06390356177325,0.02,0.814432989690722
10,Coordination,go_past_time,MoTR,180,24,0.06390356177325,0.02,0.816326530612245
11,Coordination,go_past_time,MoTR,200,24,0.06390356177325,0.05,0.821052631578947
12,Coordination,go_past_time,G-Maze,10,24,-0.01608766647875,0,0.1
13,Coordination,go_past_time,G-Maze,20,24,-0.01608766647875,0.00999999999999999,0.151515151515152
14,Coordination,go_past_time,G-Maze,40,24,-0.01608766647875,0.02,0.142857142857143
15,Coordination,go_past_time,G-Maze,60,24,-0.01608766647875,0.01,0.191919191919192
16,Coordination,go_past_time,G-Maze,80,24,-0.01608766647875,0,0.18
17,Coordination,go_past_time,G-Maze,100,24,-0.01608766647875,0.01,0.313131313131313
18,Coordination,go_past_time,G-Maze,120,24,-0.01608766647875,0.03,0.329896907216495
19,Coordination,go_past_time,G-Maze,140,24,-0.01608766647875,0.01,0.363636363636364
20,Coordination,go_past_time,G-Maze,160,24,-0.01608766647875,0.03,0.422680412371134
21,Coordination,go_past_time,G-Maze,180,24,-0.01608766647875,0.02,0.418367346938776
22,Coordination,go_past_time,G-Maze,200,24,-0.01608766647875,0,0.37
23,Coordination,go_past_time,A-Maze,10,24,0.079964306170775,0,0.23
24,Coordination,go_past_time,A-Maze,20,24,0.079964306170775,0.01,0.535353535353535
25,Coordination,go_past_time,A-Maze,40,24,0.079964306170775,0,0.83
26,Coordination,go_past_time,A-Maze,60,24,0.079964306170775,0,0.87
27,Coordination,go_past_time,A-Maze,80,24,0.079964306170775,0.01,0.898989898989899
28,Coordination,go_past_time,A-Maze,100,24,0.079964306170775,0.02,0.959183673469388
29,Coordination,go_past_time,A-Maze,120,24,0.079964306170775,0,0.92
30,Coordination,go_past_time,A-Maze,140,24,0.079964306170775,0.03,0.907216494845361
31,Coordination,go_past_time,A-Maze,160,24,0.079964306170775,0.04,0.958333333333333
32,Coordination,go_past_time,A-Maze,180,24,0.079964306170775,0.02,0.959183673469388
33,Coordination,go_past_time,A-Maze,200,24,0.079964306170775,0.01,0.96969696969697
34,Coordination,go_past_time,SPR,10,24,0.02280856012624,0.005,0.0903535353535354
35,Coordination,go_past_time,SPR,20,24,0.02280856012624,0.015,0.117474226804124
36,Coordination,go_past_time,SPR,40,24,0.02280856012624,0.015,0.208711340206186
37,Coordination,go_past_time,SPR,60,24,0.02280856012624,0.025,0.210130443930149
38,Coordination,go_past_time,SPR,80,24,0.02280856012624,0.02,0.239795918367347
39,Coordination,go_past_time,SPR,100,24,0.02280856012624,0.03,0.293814432989691
40,Coordination,go_past_time,SPR,120,24,0.02280856012624,0.05,0.331006205673759
41,Coordination,go_past_time,SPR,140,24,0.02280856012624,0.045,0.366747093660891
42,Coordination,go_past_time,SPR,160,24,0.02280856012624,0.065,0.380205949656751
43,Coordination,go_past_time,SPR,180,24,0.02280856012624,0.065,0.427231121281465
44,Coordination,go_past_time,SPR,200,24,0.02280856012624,0.05,0.36258865248227
45,Relative Clause,go_past_time,MoTR,10,24,0.07598276417,0,0.05
46,Relative Clause,go_past_time,MoTR,20,24,0.07598276417,0,0.24
47,Relative Clause,go_past_time,MoTR,40,24,0.07598276417,0.03,0.216494845360825
48,Relative Clause,go_past_time,MoTR,60,24,0.07598276417,0.02,0.448979591836735
49,Relative Clause,go_past_time,MoTR,80,24,0.07598276417,0.02,0.622448979591837
50,Relative Clause,go_past_time,MoTR,100,24,0.07598276417,0.02,0.744897959183674
51,Relative Clause,go_past_time,MoTR,120,24,0.07598276417,0.00999999999999999,0.727272727272727
52,Relative Clause,go_past_time,MoTR,140,24,0.07598276417,0.02,0.775510204081633
53,Relative Clause,go_past_time,MoTR,160,24,0.07598276417,0,0.84
54,Relative Clause,go_past_time,MoTR,180,24,0.07598276417,0.00999999999999999,0.838383838383838
55,Relative Clause,go_past_time,MoTR,200,24,0.07598276417,0.01,0.909090909090909
56,Relative Clause,go_past_time,G-Maze,10,24,0.099489195355,0,0.32
57,Relative Clause,go_past_time,G-Maze,20,24,0.099489195355,0,0.58
58,Relative Clause,go_past_time,G-Maze,40,24,0.099489195355,0.01,0.878787878787879
59,Relative Clause,go_past_time,G-Maze,60,24,0.099489195355,0.03,0.865979381443299
60,Relative Clause,go_past_time,G-Maze,80,24,0.099489195355,0.00999999999999999,0.94949494949495
