,experiment,metric,measure,lm_fit,n_subj,n_item,Q1,median,Q3,failed_mean,power_Q1,power_median,power_Q3
1,Coordination,gaze_duration,MoTR,good,186,16,14.881669378874,20.5256897624046,26.0709890848347,0,0.35,0.75,0.9
2,Coordination,go_past_time,MoTR,good,186,16,18.1090226557984,25.1488549649679,32.2588907406967,0.00666666666666667,0.565656565656566,0.858585858585859,0.92
3,Coordination,go_past_time,G-Maze,ill,44,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.00999999999999999,0.252525252525253,0.0707070707070707,0.0505050505050505
4,Coordination,go_past_time,A-Maze,ill,46,24,72.3069818505314,95.9125598804189,120.253084034832,0.00666666666666666,0.656565656565657,0.93939393939394,0.99
5,Coordination,go_past_time,SPR,ill,32,24,1.60024671039284,6.83760419543333,12.4061091867437,0.0166666666666667,0.1030928,0.1668099,0.4734043
6,Coordination,total_duration,MoTR,good,186,16,39.0435641282983,47.4070962368663,55.8405028254058,0.0233333333333333,0.969387755102041,1,1
7,Relative Clause,gaze_duration,MoTR,ill,186,16,9.51460719400961,15.3667056849761,20.9896725066478,0.03,0.278350515463918,0.505050505050505,0.757894736842105
8,Relative Clause,go_past_time,MoTR,good,186,16,28.2668684700325,36.7909003045261,45.0861895403858,0.0333333333333333,0.649484536082474,0.877551020408163,0.968421052631579
9,Relative Clause,go_past_time,G-Maze,good,44,24,72.6609621838719,96.5732089711753,121.436221056026,0.00666666666666667,0.6,0.818181818181818,0.94949494949495
10,Relative Clause,go_past_time,A-Maze,good,46,24,55.4953587819672,73.0423501855069,91.1969022071944,0.00999999999999999,0.67,0.88659793814433,1
11,Relative Clause,go_past_time,SPR,good,32,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.0133333333333333,0.1336041,0.1121649,0.1425479
12,Relative Clause,total_duration,MoTR,ill,186,16,70.172662373812,84.6083771566125,98.2181884906136,0.0333333333333333,0.948453608247423,0.979166666666667,1
13,Adverb,gaze_duration,MoTR,good,186,16,30.0527652274206,35.2702237529688,40.2834962456554,0.02,0.948979591836735,0.99,1
14,Adverb,go_past_time,MoTR,good,186,16,69.3667422103234,79.9758144786674,91.1949801674806,0.00333333333333334,0.98989898989899,1,1
15,Adverb,go_past_time,G-Maze,good,44,24,115.68358896458,157.305352993484,198.158548500782,0.00666666666666666,0.75,0.929292929292929,0.97979797979798
16,Adverb,go_past_time,A-Maze,ill,46,24,138.384869426642,159.602083891809,181.35651552253,0.00666666666666667,1,1,1
17,Adverb,go_past_time,SPR,ill,32,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0233333333333333,0.3222854,0.4706186,0.8846392
18,Adverb,total_duration,MoTR,good,186,16,81.9692722763145,92.566302874084,103.73863528087,0.00666666666666667,1,1,1
