"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean","Coordination",-1,"gaze_duration","MoTR",0.0101069526652179,-0.01206575678314,-0.0314996475,0.009092587,-4.74239070623602,-12.3671609598244,3.62684298525553
"mean1","Coordination",0,"gaze_duration","MoTR",0.0239200550929521,0.0534691617072,0.005405756,0.1003378,20.0640131623365,1.94846176406627,38.3985773881392
"mean2","Coordination",1,"gaze_duration","MoTR",0.0171564658303015,0.047670937281,0.01334444,0.0808206425,17.3626679301423,4.67202360667239,30.1489515605922
"mean3","Coordination",2,"gaze_duration","MoTR",0.0176757416886352,-0.0230126225972725,-0.0586409775,0.011677765,-7.67965166842443,-19.1144837566879,4.00183403899058
"mean4","Coordination",-1,"go_past_time","MoTR",0.012905332304495,-0.0179319301462825,-0.0424314725,0.00740665350000001,-7.68772161249367,-18.0507649592505,3.23472161540111
"mean5","Coordination",0,"go_past_time","MoTR",0.0239337616039641,0.06001096912075,0.01170073,0.105890725,23.8565726572281,4.44633925228138,43.0588127904519
"mean6","Coordination",1,"go_past_time","MoTR",0.0205327626523866,0.0706774318014,0.0284477975,0.1106512,29.1273314302865,11.4208742471591,46.8000434192368
"mean7","Coordination",2,"go_past_time","MoTR",0.0341534122633636,0.0570899898982512,-0.0092105655,0.12231015,32.5124189663207,-5.12953994516817,71.7273662144522
"mean8","Coordination",-1,"go_past_time","G-Maze",0.0309495236778788,0.0044316239596725,-0.05799023,0.06427105,3.89696534745881,-46.2915524199624,54.515424812888
"mean9","Coordination",0,"go_past_time","G-Maze",0.0320770660114971,-0.0160315971882175,-0.07956114,0.0465638625,-21.2916783712495,-105.546406118218,67.0295855353275
"mean10","Coordination",1,"go_past_time","G-Maze",0.022065019891802,0.001706862725265,-0.041055085,0.0456983975,1.90366262437319,-38.6268894449714,45.2092234708198
"mean11","Coordination",2,"go_past_time","G-Maze",0.022044147558844,-0.01933743997765,-0.0629856875,0.024217635,-17.2236450098806,-55.458630548044,22.4423035656797
"mean12","Coordination",-1,"go_past_time","A-Maze",0.0273820410799013,-0.00671233690535,-0.0607121925,0.045996775,-4.20268794576825,-39.8589385960414,33.0255098503015
"mean13","Coordination",0,"go_past_time","A-Maze",0.0302374850871832,0.0788593789224,0.0202734925,0.13824475,99.6103927445821,24.0146909273072,180.638057568896
"mean14","Coordination",1,"go_past_time","A-Maze",0.0216981671730808,-0.023002334298925,-0.065930695,0.0196343175,-19.1457987148083,-54.7410861420894,16.6251103002419
"mean15","Coordination",2,"go_past_time","A-Maze",0.0156739653739357,0.003206851770725,-0.0281090925,0.03385138,2.53567624942992,-21.0430346074583,26.2543571255774
"mean16","Coordination",-1,"go_past_time","SPR",0.0205813515746914,0.013319600358725,-0.029445525,0.0533217675,4.0145110070521,-9.46779045742115,16.1524365896297
"mean17","Coordination",0,"go_past_time","SPR",0.0235546098292777,0.01071055612545,-0.0359939125,0.0567520225,3.25986540361811,-10.4337553951107,17.6311082629336
"mean18","Coordination",1,"go_past_time","SPR",0.0256163214455354,0.023518792100285,-0.0254979725,0.07428254,7.05879689739947,-7.45627372761499,22.7709094631747
"mean19","Coordination",2,"go_past_time","SPR",0.0186817777179501,0.022475654868725,-0.0141210225,0.06007909,7.29229982902602,-4.4861192708505,20.0388505051674
"mean20","Coordination",-1,"total_duration","MoTR",0.0162737518814922,0.037939256119,0.0061840395,0.0700099625,18.485035418406,2.94278455632226,34.5739498281574
"mean21","Coordination",0,"total_duration","MoTR",0.0262402075647668,0.083994204457,0.0319194675,0.13524795,37.3361533073097,13.2143472192594,62.2531793004036
"mean22","Coordination",1,"total_duration","MoTR",0.0213132640814671,0.06272442819675,0.0202502975,0.102482225,25.8131854849486,8.06828160537651,44.1286539347595
"mean23","Coordination",2,"total_duration","MoTR",0.0237290294622261,0.00316832212673925,-0.04406042,0.0511488175,1.30041494145745,-15.9204454984435,19.5006256466594
"mean24","Coordination",-1,"FPReg","MoTR",0.165178577383273,-0.067238157753275,-0.3918599,0.252580375,-0.00724646986098825,-0.044297285741732,0.0356580134791021
"mean25","Coordination",0,"FPReg","MoTR",0.293336221476508,0.53799402935175,-0.0154099175,1.13796625,0.0134562304543621,-0.000298806859816336,0.0349648456177406
"mean26","Coordination",1,"FPReg","MoTR",0.325650346249127,1.03429938015,0.412831075,1.70881975,0.0379972465475712,0.0104672150448273,0.0791422115442962
"mean27","Coordination",2,"FPReg","MoTR",0.15567907541759,0.4178046413025,0.10870415,0.717567875,0.0824969607033809,0.0197894100612709,0.15215167171249
"mean28","Relative Clause",-1,"gaze_duration","MoTR",0.0103577385320899,-0.0055083568889315,-0.0259326225,0.01477484,-2.16018335188847,-10.2112317141906,5.83956558288808
"mean29","Relative Clause",0,"gaze_duration","MoTR",0.0170424982144991,0.03372736325695,0.000534291075,0.0671173625,14.4117188510475,0.217541658282799,29.1821340669225
"mean30","Relative Clause",1,"gaze_duration","MoTR",0.0184302694578611,0.0214846528343975,-0.0154112475,0.05723077,8.00786225273272,-5.66444299280219,21.4950724472634
"mean31","Relative Clause",2,"gaze_duration","MoTR",0.0160139358843603,0.00576334738828,-0.0265133175,0.03674592,2.20319409747569,-9.62207074467901,13.8415273940128
"mean32","Relative Clause",-1,"go_past_time","MoTR",0.0135273215686983,0.007255324681265,-0.0184632875,0.03398693,3.16651243689938,-8.01853780496217,14.8249968920332
