"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
0,-8.48297799922574,9.38747219791156,0,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.1,-8.38930851781396,10.0995882764724,0.203966516065975,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.2,-7.82976576429093,9.14400456612037,0.428996033786689,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.3,-7.57602376895807,8.7523824261329,0.699388210860889,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.4,-7.18209412883391,9.05772037336038,0.760511190466104,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.5,-7.39054284263085,9.87881070104226,1.09680711558474,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.6,-7.13106908834055,10.3222279431015,1.15919734645433,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.7,-6.20773467147745,9.84384303308406,1.42565683250638,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.8,-6.41954045638374,9.96213503251306,1.54652923235085,-348.105302673517,"gaze_duration",TRUE,"wt-1"
0.9,-5.66668337052585,10.7233524624989,2.00447335376884,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1,-6.28438226439903,10.845048928532,2.10725361310659,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.1,-5.52251133461363,10.567710312732,2.02425636499999,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.2,-5.4531190706777,10.8172990803381,2.59066840244623,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.3,-4.98338300362644,11.4726052310622,2.50265918077685,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.4,-4.65883545071341,11.9662561670645,2.91955096192351,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.5,-5.51728425080415,11.8343974552021,2.77178699281643,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.6,-5.10558355826413,11.572923237225,3.02588732388136,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.7,-4.57917849914719,11.4272915435382,3.18259414624612,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.8,-4.50906557143259,11.3997115834189,3.17810270959677,-348.105302673517,"gaze_duration",TRUE,"wt-1"
1.9,-4.16831859843541,11.9600593193132,3.63870658278745,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2,-4.60251263268611,11.9884754029774,3.46686828529096,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.1,-4.08682996103499,12.7168144173355,4.14431816270195,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.2,-4.4560780859062,12.2574132705186,3.61097775923355,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.3,-3.78582970174364,12.2355362501744,3.99591055139439,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.4,-3.50974901029417,12.2252065589119,4.24499221389351,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.5,-3.84825391145642,12.2168750637377,4.25050526022926,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.6,-3.81121743679108,12.7103619290066,4.24428929737343,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.7,-3.11228061674814,12.8710673299381,4.77281930640316,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.8,-4.17883675475991,13.2283021587886,4.46074127019233,-348.105302673517,"gaze_duration",TRUE,"wt-1"
2.9,-3.08875786437295,12.642814474195,4.70639939055258,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3,-3.17935365998653,13.2185753946665,4.87816059647275,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.1,-2.7955798092899,13.3134742969315,4.84780585086321,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.2,-2.72216930803614,13.1553399912432,5.02108945666652,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.3,-2.92117381229667,13.3413924627059,5.09852028485449,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.4,-2.69481808454981,13.379169111608,5.27909834476441,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.5,-3.01768608946003,13.293850854766,5.15404996207309,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.6,-2.52980479166087,13.2849493763242,5.05539035626515,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.7,-3.40871598449002,13.1048471898203,5.38824680777321,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.8,-3.34064809227146,14.0265209467722,5.37807418009385,-348.105302673517,"gaze_duration",TRUE,"wt-1"
3.9,-3.62095790202449,14.2121196241335,5.4607681640656,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4,-3.38617926639915,13.2694401602092,5.38348825779303,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.1,-4.26096521767226,13.9295002899397,5.65699854974753,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.2,-3.72145523077728,13.6813777902259,5.55368153602785,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.3,-3.91215589737084,13.811793211106,5.67813296429932,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.4,-2.78294536112656,13.8376084069042,6.17898116226615,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.5,-3.25088328034388,14.2652495219866,6.08081660055683,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.6,-3.61799288713866,13.8886228040346,6.13564726485271,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.7,-2.77067538469356,14.4302394524983,6.33714801081612,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.8,-3.2194529437034,14.5210632237713,6.25051455492115,-348.105302673517,"gaze_duration",TRUE,"wt-1"
4.9,-3.31050911216283,14.2429454151233,6.386623513102,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5,-3.02478056105946,14.1235123106263,6.59654418938089,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.1,-2.46458776234056,15.0621123588722,7.05829917079956,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.2,-2.93869730581264,14.7589523119082,6.93396506210269,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.3,-1.78873675497397,14.1042457345605,7.10849960482744,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.4,-2.15704196672783,14.2604715786293,7.02508425252586,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.5,-1.47486420402203,15.5121700017572,7.19635606401835,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.6,-1.62905568603458,14.8559150140524,7.20817087212293,-348.105302673517,"gaze_duration",TRUE,"wt-1"
