sbm_id,expr_id,cond_id,trial_id,para_nr,word_nr,word,x_mean,y_mean,start_t,end_t,duration
24,2,1,5,1,0, There ,107.57142857142857,45.0,1044,1345,301
24,2,1,5,1,3, rumblings ,236.5,48.0,1745,1994,249
24,2,1,5,1,5, Apple ,372.0,50.0,2296,2594,298
24,2,1,5,1,8, invade ,517.6,49.0,3194,3395,201
24,2,1,5,1,10, smart ,589.0,45.0,3694,3894,200
24,2,1,5,1,13, though ,130.5,74.75,4795,4946,151
24,2,1,5,1,17, maintaining ,313.0,76.0,5644,5845,201
24,2,1,5,1,19, customary ,413.0,78.0,6145,6344,199
24,2,1,5,1,20, silence. ,520.4285714285714,83.0,6596,6894,298
24,2,1,5,1,28," speaker, ",238.83333333333334,130.0,8695,8944,249
24,2,1,5,1,30, you ,349.8,128.8,9395,9594,199
24,2,1,5,1,33, it ,421.0,119.0,9794,9895,101
24,2,1,5,1,35, control ,499.2,123.0,10143,10344,201
24,2,1,5,1,41, You ,725.0,120.0,11143,11394,251
24,2,1,5,1,47, face ,293.2,161.0,12194,12394,200
24,2,1,5,1,53, title ,504.6,165.0,12994,13193,199
24,2,1,5,1,56, song. ,588.0,169.0,13394,13594,200
24,2,1,9,2,0, Two ,96.33333333333333,41.0,1460,1710,250
24,2,1,9,2,2," later, ",205.0,43.0,2060,2259,199
24,2,1,9,2,5, astronomer ,341.8,41.0,2560,2759,199
24,2,1,9,2,6, Richard ,461.0,36.0,3160,3309,149
24,2,1,9,2,9, observing ,598.0,37.0,3710,3810,100
24,2,1,9,2,11, interesting ,140.14285714285714,77.28571428571429,4510,4809,299
24,2,1,9,2,14, through ,319.0,81.0,5410,5610,200
24,2,1,9,2,16, telescope ,449.5,88.0,6060,6209,149
24,2,1,9,2,19, saw ,563.0,85.0,6460,6659,199
24,2,1,9,2,27, intensely ,283.3333333333333,122.0,8210,8459,249
24,2,1,9,2,30, white ,425.0,123.0,8709,8910,201
24,2,1,9,2,34, sunspots. ,586.0,121.0,9210,9360,150
24,2,1,9,2,44, night ,348.0,160.0,10709,10959,250
24,2,1,9,2,47, scarcely ,512.0,161.0,11259,11510,251
24,2,1,9,2,52, earth ,679.0,153.0,11760,11910,150
24,2,1,9,2,58, aurora. ,322.75,195.75,13209,13359,150
24,2,1,18,3,1, agree ,116.5,26.875,1805,2155,350
24,2,1,18,3,3, California's ,280.0,50.0,3605,3755,150
24,2,1,18,3,7, you're ,436.4,50.0,4454,4654,200
24,2,1,18,3,13, financial ,625.0,43.0,5455,5655,200
24,2,1,18,3,15, for ,112.16666666666667,75.16666666666667,6604,6855,251
24,2,1,18,3,19, about ,320.1666666666667,81.0,7755,8004,249
24,2,1,18,3,22, other ,460.0,79.0,8504,8705,201
24,2,1,18,3,24, services. ,574.8,76.0,9104,9304,200
24,2,1,18,3,25, But ,635.8,75.0,9504,9704,200
24,2,1,18,3,29, clear ,101.8,122.0,10655,10854,199
