sbm_id,expr_id,cond_id,trial_id,para_nr,mean_x,mean_y,start_x,end_x,start_y,end_y,start_t,end_t,duration
44,2,1,10,1,139.71428571428572,26.428571428571427,111,216,47,17,1339,1639,300
44,2,1,10,1,479.6666666666667,46.111111111111114,234,231,15,89,5889,6745,856
44,2,1,10,1,468.8181818181818,112.4090909090909,273,107,87,174,6945,8247,1302
44,2,1,10,1,482.6666666666667,124.94444444444444,138,840,161,132,8496,9346,850
44,2,1,10,1,586.5,170.75,839,1,145,184,9439,9948,509
44,2,1,10,1,312.57894736842104,162.6315789473684,65,535,174,189,10298,11199,901
44,2,1,3,2,351.37931034482756,45.58620689655172,173,142,18,71,11046,12452,1406
44,2,1,3,2,257.0,72.88888888888889,152,343,73,75,12556,12946,390
44,2,1,3,2,464.0,68.66666666666667,455,474,68,70,13748,13855,107
44,2,1,3,2,278.375,72.0,444,161,72,71,14209,14550,341
44,2,1,3,2,272.25,70.25,215,309,67,72,14644,14798,154
44,2,1,3,2,357.75,72.25,324,390,71,72,14894,15046,152
44,2,1,3,2,481.375,76.25,405,563,71,83,15155,15496,341
44,2,1,3,2,484.0,92.95,591,68,80,122,15594,16544,950
44,2,1,3,2,197.88888888888889,121.44444444444444,77,273,124,138,16644,17044,400
44,2,1,3,2,483.7142857142857,124.14285714285714,287,35,130,163,17344,18696,1352
44,2,1,3,2,165.0,159.5,130,193,166,155,18896,19046,150
44,2,1,3,2,432.22222222222223,161.5,232,628,154,165,19246,20097,851
44,2,1,3,2,696.0,164.25,649,741,164,165,20197,20348,151
44,2,1,3,2,342.42857142857144,180.5,760,53,163,203,20448,21099,651
44,2,1,3,2,122.25,203.25,71,152,203,203,21198,21349,151
44,2,1,3,2,193.33333333333334,200.0,179,213,201,199,21499,21599,100
44,2,1,3,2,275.3333333333333,190.0,263,288,193,187,21799,21899,100
44,2,1,3,2,270.6666666666667,175.66666666666666,279,261,182,168,22249,22350,101
44,2,1,3,2,164.28571428571428,120.85714285714286,238,121,161,76,22448,22750,302
44,2,1,3,2,168.6,28.0,128,204,35,26,23251,23446,195
44,2,1,3,2,451.5,32.25,221,658,25,41,23601,24348,747
44,2,1,3,2,248.33333333333334,74.5,518,343,56,76,24452,24996,544
