sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
24,1,5,9,0, The ,238,676,914,15.5,11.25,yes
24,1,5,9,1, daughter ,248,914,1162,36.5,16.75,yes
24,1,5,9,3, the ,185,1215,1400,18.67,16.33,yes
24,1,5,9,5, who ,185,1516,1701,9,14,yes
24,1,5,9,6, complimented ,479,1701,2180,53.62,12.75,yes
24,1,5,9,7, herself ,424,2180,2604,30.57,13.86,yes
24,1,5,9,9, public ,169,2667,2836,32,13,yes
24,1,5,9,10, was ,131,2836,2967,18.5,15,yes
24,1,5,9,11, beautiful. ,355,2967,3322,437,39.33,yes
24,1,5,9,0, The ,123,3684,3807,25,8.5,yes
24,1,5,9,1, daughter ,2950,3807,6757,26,7,yes
24,1,5,10,0, The ,654,1792,2446,11.55,5.36,yes
24,1,5,10,1, sister ,247,2446,2693,14.25,2,yes
24,1,5,10,2, of ,239,2693,2932,9.75,7,yes
24,1,5,10,3, the ,232,2932,3164,15.5,7,yes
24,1,5,10,4, salesman ,485,3164,3649,28.5,5.62,yes
24,1,5,10,5, who ,248,3649,3897,20,13,yes
24,1,5,10,6, made ,354,3897,4251,21,11,yes
24,1,5,10,10, herself ,364,4436,4800,26.17,9,yes
24,1,5,10,12, work ,248,4853,5101,24.25,7,yes
24,1,5,10,13, was ,301,5101,5402,22.4,4.8,yes
24,1,5,10,14, very ,169,5402,5571,25.33,5.67,yes
24,1,5,10,15, angry. ,501,5571,6072,9.12,9.12,yes
24,1,5,10,0, The ,302,6372,6674,11.4,14,yes
24,1,5,11,0, The ,301,701,1002,8.6,12,no
24,1,5,11,1, daughter ,486,1002,1488,31.62,13,no
24,1,5,11,3, the ,171,1550,1721,19.33,15,no
24,1,5,11,4, actor ,301,1721,2022,26.6,17.8,no
24,1,5,11,5, who ,184,2022,2206,22.33,19.67,no
24,1,5,11,6, hated ,250,2206,2456,344,50,no
24,1,5,11,7, herself ,299,2456,2755,384.6,49.6,no
24,1,5,11,8, for ,168,2755,2923,155.67,29.33,no
24,1,5,11,9, failing ,733,2923,3656,26.42,20,no
24,1,5,11,10, always ,417,3656,4073,32.86,17,no
24,1,5,11,11, seemed ,301,4073,4374,38.8,17.6,no
24,1,5,11,12, unhappy. ,655,4374,5029,553.73,45,no
24,1,5,11,0, The ,602,5399,6001,9.6,5.1,no
24,1,5,11,1, daughter ,178,6001,6179,37.67,7.33,no
24,1,5,11,4, actor ,356,6665,7021,172.67,36.67,no
24,1,5,12,0, The ,170,1066,1236,13.67,8.67,no
24,1,5,12,1, sister ,370,1236,1606,24.33,14.83,no
24,1,5,12,4, prince ,184,1784,1968,236.33,52,no
24,1,5,12,5, who ,239,1968,2207,215,42.25,no
24,1,5,12,6, injured ,300,2207,2507,27,14.8,no
24,1,5,12,7, herself ,418,2507,2925,30.57,12.43,no
24,1,5,12,8, falling ,247,2925,3172,24.75,19.25,no
24,1,5,12,9, off ,239,3172,3411,14.25,20,no
24,1,5,12,11, roof ,238,3473,3711,21.25,20,no
24,1,5,12,12, was ,301,3711,4012,129.4,25.6,no
24,1,5,12,1, sister ,184,4793,4977,65.67,29.67,no
24,1,5,12,0, The ,169,4977,5146,36,15,no
24,1,5,12,1, sister ,186,5146,5332,31,6,no
24,1,5,12,4, prince ,123,5695,5818,47,4.5,no
24,1,5,12,5, who ,533,5818,6351,21.56,10.89,no
24,1,5,12,6, injured ,300,6351,6651,26.6,13.4,no
24,1,5,12,7, herself ,671,6651,7322,34,9.73,no
24,1,5,12,8, falling ,417,7322,7739,199.57,32,no
24,1,5,12,10, a ,131,8156,8287,497,55,no
24,1,5,12,11, roof ,1072,8287,9359,513.5,55.5,no
24,1,5,12,13, still ,303,9660,9963,16.8,14.4,no
24,1,5,12,14, sad. ,2929,9963,12892,10.5,15.5,no
24,1,5,13,0, The ,547,743,1290,23.89,6.89,no
24,1,5,13,1, son ,355,1290,1645,17,11.83,no
24,1,5,13,2, of ,132,1645,1777,9,11,no
24,1,5,13,3, the ,237,1777,2014,11,10,no
24,1,5,13,4, princess ,533,2014,2547,29.89,8.44,no
24,1,5,13,5, who ,247,2547,2794,26.25,13,no
24,1,5,13,6, scratched ,841,2794,3635,35.43,15.79,no
24,1,5,13,7, himself ,486,3635,4121,31.88,8.38,no
24,1,5,13,9, public ,364,4236,4600,27.17,6.17,no
24,1,5,13,10, was ,239,4600,4839,21.25,9,no
24,1,5,13,11, awfully ,301,4839,5140,31.2,10.6,no
24,1,5,13,12, embarrassed. ,363,5140,5503,52.67,11,no
24,1,5,13,0, The ,132,5857,5989,11.5,14,no
24,1,5,13,1, son ,132,6158,6290,17.5,9.5,no
24,1,5,13,2, of ,170,6290,6460,14.67,12.67,no
24,1,5,14,1, brother ,422,962,1384,37,11.71,no
24,1,5,14,2, of ,179,1384,1563,6,13,no
24,1,5,14,3, the ,122,1563,1685,14.5,13.5,no
24,1,5,14,4, ballerina ,417,1685,2102,39,16.43,no
24,1,5,14,6, found ,247,2218,2465,28.75,18,no
24,1,5,14,7, himself ,301,2465,2766,35.8,16.4,no
24,1,5,14,8, in ,186,2766,2952,10,15.33,no
24,1,5,14,10, lot ,123,3067,3190,8.5,14,no
24,1,5,14,12, trouble ,238,3252,3490,32.5,15.25,no
24,1,5,14,13, phoned ,179,3490,3669,34.33,16,no
24,1,5,14,14, home. ,123,3669,3792,31.5,19,no
24,1,5,14,12, trouble ,371,4324,4695,565.33,54,no
24,1,5,14,11, of ,418,4695,5113,297.86,35,no
24,1,5,14,10, lot ,546,5113,5659,19.22,10,no
24,1,5,14,13, phoned ,301,5829,6130,264.2,29.6,no
24,1,5,14,1, brother ,131,6430,6561,23,8,no
24,1,5,14,0, The ,170,6561,6731,19.67,5,no
24,1,5,14,2, of ,2480,6731,9211,175,49,no
24,1,5,15,0, The ,416,843,1259,18.71,8.71,yes
24,1,5,15,1, nephew ,540,1259,1799,35.44,14.22,yes
24,1,5,15,2, of ,301,1799,2100,4,11,yes
24,1,5,15,1, nephew ,250,2100,2350,47.25,17.75,yes
24,1,5,15,3, the ,185,2400,2585,15.33,14.67,yes
24,1,5,15,4, maid ,300,2585,2885,31.6,11.8,yes
24,1,5,15,5, who ,179,2885,3064,21.67,10.33,yes
24,1,5,15,6, cut ,185,3064,3249,20.33,13.67,yes
24,1,5,15,7, himself ,417,3249,3666,29.43,12,yes
24,1,5,15,8, with ,123,3666,3789,20,9,yes
24,1,5,15,11, called ,300,4021,4321,435.6,46.4,yes
24,1,5,15,12, the ,131,4321,4452,565.5,55,yes
24,1,5,15,13, doctor. ,418,4452,4870,362.14,36.29,yes
24,1,5,15,1, nephew ,238,5472,5710,36.5,5,yes
24,1,5,15,3, the ,125,5772,5897,11.5,7,yes
24,1,5,15,4, maid ,477,5897,6374,30.38,11.5,yes
24,1,5,16,0, The ,124,524,648,18.5,15,yes
24,1,5,16,0, The ,232,948,1180,20.75,5.5,yes
24,1,5,16,1, grandfather ,549,1180,1729,42.56,5,yes
24,1,5,16,2, of ,122,1729,1851,11.5,5,yes
24,1,5,16,3, the ,178,1851,2029,14.67,6,yes
