sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
91,2,2,37,1, Thornton ,187,1023,1210,17.67,6.33,No
91,2,2,37,0, John ,628,1210,1838,23.2,12.7,No
91,2,2,37,1, Thornton ,948,2274,3222,30.93,9.07,No
91,2,2,37,2, asked ,312,3222,3534,29.6,10.8,No
91,2,2,37,3, little ,436,3534,3970,19,10,No
91,2,2,37,5, man ,374,4032,4406,22.33,14.17,No
91,2,2,37,7, nature. ,562,4532,5094,44,16.56,No
91,2,2,37,9, was ,186,5219,5405,21,16,No
91,2,2,37,10, unafraid ,498,5405,5903,27.5,16.62,No
91,2,2,37,11, of ,189,5903,6092,398.67,38.33,No
91,2,2,37,12, the ,311,6092,6403,613.2,48,No
91,2,2,37,13, wild. ,252,6403,6655,178,23.25,No
91,2,2,37,14, With ,312,6655,6967,24,7.8,No
91,2,2,37,16, handful ,874,7650,8524,-545.43,54.86,No
91,2,2,37,21, rifle ,309,8899,9208,12.2,10.8,No
91,2,2,37,22, he ,251,9208,9459,11,9.25,No
91,2,2,37,23, could ,249,9459,9708,27.5,13,No
91,2,2,37,24, plunge ,561,9708,10269,26.78,12.56,No
91,2,2,37,27, wilderness ,873,10833,11706,87.21,17,No
91,2,2,37,30, wherever ,436,11895,12331,46.86,16.14,No
91,2,2,37,32, pleased ,311,13270,13581,-621.6,55.8,No
91,2,2,37,33, and ,188,13581,13769,13.67,14,No
91,2,2,37,37, he ,251,13956,14207,294.75,128.5,No
91,2,2,37,38, pleased. ,562,14207,14769,20.89,11.67,No
91,2,2,37,36, as ,187,14896,15083,23,7.33,No
91,2,2,37,0, John ,314,15707,16021,25.4,8.4,No
91,2,2,37,1, Thornton ,371,16021,16392,38.5,15.5,No
91,2,1,38,0, All ,371,1338,1709,15.17,9.83,Yes
91,2,1,38,3, brain ,373,2330,2703,17.33,10.67,Yes
91,2,1,38,4, has ,185,2703,2888,11.67,9.67,Yes
91,2,1,38,6, work ,234,3013,3247,23.25,4.75,Yes
