sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
64,1,5,9,0, The ,226,1192,1418,88.11,37.44,yes
64,1,5,9,1, daughter ,474,1418,1892,136.95,42.53,yes
64,1,5,9,3, the ,250,1992,2242,215,45,yes
64,1,5,9,4, man ,1652,2242,3894,254.97,41.26,yes
64,1,5,9,5, who ,299,3894,4193,292,40.17,yes
64,1,5,9,6, complimented ,850,4193,5043,367.79,39.94,yes
64,1,5,9,7, herself ,1100,5043,6143,446.5,43.3,yes
64,1,5,9,6, complimented ,925,6143,7068,368.16,41.22,yes
64,1,5,9,7, herself ,300,7068,7368,458.75,38.5,yes
64,1,5,9,10, was ,250,7543,7793,575.9,41,yes
64,1,5,10,0, The ,176,1086,1262,93.43,31,yes
64,1,5,10,1, sister ,474,1262,1736,129.53,42.32,yes
64,1,5,10,2, of ,176,1736,1912,159.71,40.29,yes
64,1,5,10,3, the ,200,1912,2112,187.12,38.12,yes
64,1,5,10,4, salesman ,924,2112,3036,238.81,38.7,yes
64,1,5,10,6, made ,775,3136,3911,340.16,48.81,yes
64,1,5,10,8, fool ,224,3987,4211,405.44,46.56,yes
64,1,5,10,9, of ,200,4211,4411,431,45,yes
64,1,5,10,10, herself ,425,4411,4836,475.18,44.71,yes
64,1,5,10,11, at ,951,4836,5787,507.13,43.13,yes
64,1,5,10,13, was ,349,5912,6261,579.5,42,yes
64,1,5,10,15, angry. ,548,6413,6961,657,48.23,yes
64,1,5,10,12, work ,774,7112,7886,539.97,39,yes
64,1,5,10,11, at ,275,7886,8161,518.18,42,yes
64,1,5,11,0, The ,301,974,1275,82.75,47.92,no
64,1,5,11,1, daughter ,424,1275,1699,140.35,44.53,no
64,1,5,11,4, actor ,276,1948,2224,253.45,38,no
64,1,5,11,5, who ,300,2224,2524,295.83,37,no
64,1,5,11,6, hated ,225,2524,2749,334.56,36.89,no
64,1,5,11,7, herself ,400,2749,3149,396.12,36.31,no
64,1,5,11,8, for ,350,3149,3499,435.21,37,no
64,1,5,11,9, failing ,900,3499,4399,468.19,38.39,no
64,1,5,11,10, always ,2151,4399,6550,549.12,37.07,no
64,1,5,11,7, herself ,1724,6725,8449,399.33,36.26,no
64,1,5,11,8, for ,200,8449,8649,438.38,36,no
64,1,5,11,9, failing ,275,8649,8924,465.91,37.55,no
64,1,5,11,10, always ,325,8924,9249,531.62,48,no
64,1,5,11,12, unhappy. ,425,9399,9824,658.71,43.41,no
64,1,5,12,0, The ,624,581,1205,81.52,44.6,no
64,1,5,12,1, sister ,326,1205,1531,127.31,40.15,no
64,1,5,12,3, the ,251,1681,1932,188.7,39.4,no
64,1,5,12,4, prince ,449,1932,2381,231.94,42.44,no
64,1,5,12,5, who ,250,2381,2631,274.2,45,no
64,1,5,12,6, injured ,325,2631,2956,323.38,44.54,no
64,1,5,12,7, hrself ,1250,2956,4206,392.06,39.2,no
64,1,5,12,8, falling ,750,4206,4956,426.1,40.23,no
64,1,5,12,9, off ,375,4956,5331,468.87,43.8,no
64,1,5,12,10, a ,224,5331,5555,486.33,44.44,no
64,1,5,12,11, roof ,251,5555,5806,513.1,45.4,no
64,1,5,12,12, was ,199,5806,6005,553,46,no
64,1,5,12,13, still ,225,6005,6230,581.67,45,no
64,1,5,12,14, sad. ,375,6230,6605,605.47,44.93,no
64,1,5,12,13, still ,276,6605,6881,582.27,41.18,no
64,1,5,12,12, was ,324,6881,7205,566.15,39,no
64,1,5,12,13, still ,300,7205,7505,584.17,40.58,no
64,1,5,12,8, falling ,176,12380,12556,426.29,32.29,no
64,1,5,12,0, The ,298,18032,18330,83.92,34.58,no
64,1,5,12,1, sister ,500,18330,18830,124.9,36.5,no
64,1,5,12,3, the ,201,18980,19181,189.12,33,no
64,1,5,12,4, prince ,1975,19181,21156,228.2,35.04,no
64,1,5,12,5, who ,624,21156,21780,279.64,37,no
64,1,5,12,6, injured ,1726,21780,23506,323.99,37,no
64,1,5,12,8, falling ,199,23581,23780,431.5,49.5,no
64,1,5,12,9, off ,176,23780,23956,466.86,44.14,no
64,1,5,13,0, The ,375,388,763,84,32,no
64,1,5,13,1, son ,349,1164,1513,121.29,43.79,no
64,1,5,13,2, of ,176,1513,1689,149.57,38,no
64,1,5,13,3, the ,200,1689,1889,174.75,37,no
64,1,5,13,4, princess ,449,1889,2338,219.72,37,no
64,1,5,13,5, who ,251,2338,2589,280.3,37,no
64,1,5,13,6, scratched ,624,2589,3213,341.24,38.44,no
64,1,5,13,7, himself ,875,3213,4088,412.23,47.14,no
64,1,5,13,9, public ,525,4238,4763,484.76,37.29,no
64,1,5,13,10, was ,376,4763,5139,533.67,38.27,no
64,1,5,13,11, awfully ,324,5139,5463,580.69,37.92,no
64,1,5,13,12, embarrassed. ,2875,5463,8338,672.37,36.49,no
64,1,5,13,1, son ,200,8689,8889,113.62,35.75,no
64,1,5,13,0, The ,250,8889,9139,102.5,43,no
64,1,5,13,1, son ,174,9139,9313,114.86,43,no
64,1,5,14,0, The ,3575,961,4536,89.81,46.46,no
64,1,5,14,1, brother ,1200,4536,5736,121.62,43.69,no
64,1,5,14,0, The ,225,5736,5961,100.44,37,no
64,1,5,14,1, brother ,274,5961,6235,136,38.09,no
64,1,5,14,3, the ,250,6336,6586,200.8,37.2,no
64,1,5,14,4, ballerina ,500,6586,7086,256.6,41.9,no
64,1,5,14,5, who ,501,7086,7587,304.4,42,no
64,1,5,14,6, found ,350,7587,7937,351.07,40.14,no
64,1,5,14,7, himself ,749,7937,8686,420.2,42.6,no
64,1,5,14,9, a ,302,8811,9113,466.08,47.42,no
64,1,5,14,11, of ,300,9236,9536,507.58,39.08,no
64,1,5,14,7, himself ,500,9586,10086,413.25,42.95,no
64,1,5,14,10, lot ,199,10237,10436,486.12,41,no
64,1,5,14,12, trouble ,276,10487,10763,549.36,43.45,no
