sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
62,1,1,1,0, The ,549,951,1500,88.05,37.18,Yes
62,1,1,1,1, witness ,250,1500,1750,142.9,35.7,Yes
62,1,1,1,3, the ,373,1926,2299,283.6,33.53,Yes
62,1,1,1,2, identified ,202,2299,2501,237.88,44.88,Yes
62,1,1,1,6, his ,475,2625,3100,362.95,43,Yes
62,1,1,1,8, ran ,200,3175,3375,439.5,42.75,Yes
62,1,1,1,9, away ,325,3375,3700,473.31,38.92,Yes
62,1,1,1,11, the ,401,3800,4201,565.5,32,Yes
62,1,1,2,0, Jenny ,974,492,1466,107.05,34.72,Yes
62,1,1,2,4, reporter ,625,1890,2515,247.76,37.8,Yes
62,1,1,2,5, and ,200,2515,2715,317,47,Yes
62,1,1,2,6, the ,225,2715,2940,354,44.44,Yes
62,1,1,2,7, photographer ,625,2940,3565,419.08,40.64,Yes
62,1,1,2,8, took ,175,3565,3740,500.86,35.14,Yes
62,1,1,2,9, pictures ,350,3740,4090,548.43,36.21,Yes
62,1,1,2,11, the ,226,4140,4366,620.44,39.78,Yes
62,1,1,2,12, scene. ,274,4366,4640,644.36,41.55,Yes
62,1,1,2,0, Jenny ,402,5140,5542,106.44,43,Yes
62,1,1,2,4, reporter ,201,5890,6091,259.88,43,Yes
62,1,1,2,5, and ,3429,6091,9520,320.5,45,Yes
62,1,1,3,1, robber ,251,690,941,121.1,45.7,Yes
62,1,1,3,0, The ,449,941,1390,105,37.22,Yes
62,1,1,3,1, robber ,226,1390,1616,147.67,41.22,Yes
62,1,1,3,2, shot ,425,1616,2041,176.47,42,Yes
62,1,1,3,4, jeweler ,650,2140,2790,271.12,41,Yes
62,1,1,3,7, salesman ,501,2989,3490,385.95,38.1,Yes
62,1,1,3,8, reported ,651,3490,4141,485.62,36.08,Yes
62,1,1,3,10, crime ,173,4291,4464,562.29,41,Yes
62,1,1,3,12, the ,275,4515,4790,629.45,41.64,Yes
62,1,1,3,13, police. ,200,4790,4990,667.25,39.38,Yes
62,1,1,3,3, the ,371,5244,5615,228.73,37.87,Yes
62,1,1,3,1, robber ,275,6115,6390,154.64,38.82,Yes
62,1,1,3,3, the ,226,6540,6766,221.78,43,Yes
62,1,1,3,4, jeweler ,474,6766,7240,270.84,43,Yes
62,1,1,3,7, salesman ,351,7390,7741,403.71,45.43,Yes
62,1,1,3,9, the ,326,8215,8541,540.08,42.54,Yes
62,1,1,3,10, crime ,199,8541,8740,567.25,42.88,Yes
62,1,1,3,8, reported ,175,8790,8965,506.86,46.86,Yes
62,1,1,3,12, the ,250,9040,9290,636.7,39.7,Yes
62,1,1,3,13, police. ,5167,9290,14457,662.25,39.5,Yes
62,1,1,4,0, The ,500,807,1307,98.2,44.65,Yes
62,1,1,4,1, journalist ,300,1307,1607,143.75,42.17,Yes
62,1,1,4,2, criticized ,725,1607,2332,221.38,36.31,Yes
62,1,1,4,3, Nick ,550,2332,2882,288.27,43,Yes
62,1,1,4,5, Sam ,299,2983,3282,361.25,39.67,Yes
62,1,1,4,6, called ,250,3282,3532,399.2,34.8,Yes
62,1,1,4,8, newspaper ,775,3657,4432,488.1,39.03,Yes
62,1,1,4,10, complain. ,424,4533,4957,602.29,37.47,Yes
62,1,1,4,3, Nick ,225,5308,5533,282.11,40,Yes
62,1,1,4,2, criticized ,274,5533,5807,235.82,40,Yes
62,1,1,4,1, journalist ,301,5807,6108,136.67,40,Yes
62,1,1,4,0, The ,299,6108,6407,103.83,39.58,Yes
62,1,1,4,1, journalist ,275,6407,6682,146.09,39.18,Yes
62,1,1,4,2, criticized ,376,6682,7058,233.2,40,Yes
62,1,1,4,3, Nick ,249,7058,7307,287.8,40,Yes
62,1,1,4,4, and ,175,7307,7482,319.71,40,Yes
62,1,1,4,5, Sam ,175,7482,7657,360.29,40,Yes
62,1,1,4,6, called ,576,7657,8233,404.91,40,Yes
62,1,1,4,7, the ,275,8233,8508,428,40,Yes
62,1,1,4,2, criticized ,251,8757,9008,257.6,35.8,Yes
62,1,1,4,3, Nick ,624,9008,9632,295.4,44.52,Yes
62,1,1,4,4, and ,275,9632,9907,319.27,46,Yes
62,1,1,4,5, Sam ,176,9907,10083,352.43,45.29,Yes
62,1,1,4,6, called ,225,10083,10308,403.22,41,Yes
62,1,1,4,8, newspaper ,326,10782,11108,533.69,44.62,Yes
62,1,1,4,10, complain. ,350,11207,11557,613.64,43.14,Yes
62,1,1,4,0, The ,225,12608,12833,103.22,44.89,Yes
62,1,1,4,1, journalist ,325,12833,13158,146.38,41.23,Yes
62,1,1,4,2, criticized ,299,13158,13457,231.83,37,Yes
62,1,1,4,3, Nick ,201,13457,13658,286.25,30.38,Yes
62,1,1,4,4, and ,4593,13658,18251,311.73,30,Yes
62,1,1,5,0, Sam ,524,881,1405,93.95,38.67,No
62,1,1,5,1, hired ,175,1405,1580,133.71,39,No
62,1,1,5,3, plumber ,375,1730,2105,224.6,46.87,No
62,1,1,5,4, and ,551,2105,2656,276.23,45.55,No
62,1,1,5,6, carpenter ,375,2680,3055,362.27,39,No
62,1,1,5,7, ordered ,375,3055,3430,428.73,39.13,No
62,1,1,5,9, materials ,500,3530,4030,531.7,45.1,No
62,1,1,5,10, for ,250,4030,4280,590.5,43,No
62,1,1,5,11, the ,300,4280,4580,613.5,43,No
62,1,1,5,7, ordered ,250,4905,5155,465.1,46,No
62,1,1,5,9, materials ,300,5280,5580,546.25,41.67,No
62,1,1,5,10, for ,500,5580,6080,597.7,43.6,No
62,1,1,6,0, The ,551,930,1481,87.23,36.82,Yes
62,1,1,6,2, arrested ,450,1630,2080,190.33,41.78,Yes
62,1,1,6,4, burglar ,349,2231,2580,289.79,45.21,Yes
62,1,1,6,5, and ,225,2580,2805,335.78,46,Yes
62,1,1,6,7, brother ,550,2881,3431,417.32,46.68,Yes
62,1,1,6,8, phoned ,226,3431,3657,484.89,39.33,Yes
62,1,1,6,10, lawyer ,325,3730,4055,555.08,42.15,Yes
62,1,1,6,11, for ,201,4055,4256,600.38,40.38,Yes
62,1,1,7,0, The ,574,858,1432,90.09,37.61,No
62,1,1,7,1, knight ,250,1432,1682,156.1,38.5,No
62,1,1,7,2, greeted ,500,1682,2182,194,34.7,No
62,1,1,7,5, and ,450,2432,2882,320.5,33,No
62,1,1,7,7, queen ,624,3008,3632,391.96,43.28,No
62,1,1,7,11, people ,326,4032,4358,550.85,42.08,No
62,1,1,7,13, the ,250,4457,4707,617.8,43.4,No
62,1,1,8,0, The ,499,725,1224,92.85,36.85,Yes
62,1,1,8,1, customer ,300,1224,1524,155.17,43.42,Yes
62,1,1,8,2, complained ,625,1524,2149,238.6,43.76,Yes
62,1,1,8,3, about ,275,2149,2424,317.64,43,Yes
62,1,1,8,4, the ,375,2424,2799,336.87,42.87,Yes
62,1,1,8,5, waiter ,525,2799,3324,395.86,39.14,Yes
62,1,1,8,8, chef ,350,3424,3774,503.14,37,Yes
