sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
32,1,6,1,13, investigation. ,406,2474,2880,648.62,28.62,yes
32,1,6,1,0, The ,261,4623,4884,90.2,41,yes
32,1,6,1,4, actress ,251,5673,5924,224.6,45.6,yes
32,1,6,2,6, embarrassed ,246,21344,21590,361.4,48.4,yes
32,1,6,2,12, ashamed. ,312,21881,22193,722.5,36.83,yes
32,1,6,4,3, the ,300,5152,5452,180.33,48,yes
32,1,6,4,6, politely ,250,5701,5951,318.2,50.8,yes
32,1,6,4,7, introduced ,500,5951,6451,388.3,50,yes
32,1,6,4,8, herself ,400,6451,6851,472.88,51.75,yes
32,1,6,4,10, popular ,700,7001,7701,564.5,49.64,yes
32,1,6,4,11, at ,248,7701,7949,620.2,44,yes
32,1,6,5,1, brother ,538,3015,3553,138.18,47.45,yes
32,1,6,5,4, schoolgirl ,489,3913,4402,266.7,53.2,yes
32,1,6,5,5, who ,300,4402,4702,340.83,55,yes
32,1,6,5,6, burned ,401,4702,5103,381.75,56.38,yes
32,1,6,7,4, fireman ,400,1006766,1007166,275.38,42.38,yes
32,1,6,7,6, criticized ,252,1007313,1007565,401.6,55,yes
32,1,6,7,7, himself ,311,1007565,1007876,470.17,56,yes
32,1,6,7,10, often ,311,1008214,1008525,588.33,48.33,yes
32,1,6,7,12, anxious. ,400,1008675,1009075,695,41.38,yes
32,1,6,8,1, aunt ,435,1799,2234,124.56,41.78,no
32,1,6,8,4, schoolboy ,302,2434,2736,255.33,47.33,no
32,1,6,8,5, who ,563,2736,3299,311.55,52.82,no
32,1,6,8,6, hurt ,296,3299,3595,354.17,55,no
32,1,6,8,7, himself ,340,3595,3935,404.43,55,no
32,1,6,8,8, was ,457,3935,4392,462,51.89,no
32,1,6,8,9, concerned ,1203,4392,5595,515.96,45.12,no
32,1,6,8,10, about ,350,5595,5945,594.43,42,no
32,1,6,8,12, injury. ,301,6084,6385,687.67,33.33,no
32,1,5,18,13, great ,396,2858,3254,615.62,48,yes
32,1,5,18,14, athlete. ,498,3254,3752,668.1,41.1,yes
32,1,5,19,1, grandma ,261,2769,3030,153,39,yes
32,1,5,19,4, policeman ,599,3130,3729,284.75,45.67,yes
32,1,5,19,5, who ,300,3729,4029,360.17,46,yes
32,1,5,19,6, educated ,550,4029,4579,409.27,45.73,yes
32,1,5,19,7, herself ,502,4579,5081,492.3,39,yes
32,1,5,19,9, night ,438,5180,5618,567.89,37,yes
32,1,5,19,10, became ,660,5618,6278,626.62,39.46,yes
32,1,5,19,12, teacher. ,501,6327,6828,711.7,40,yes
32,1,5,20,1, niece ,361,1576,1937,129.86,58.14,yes
32,1,5,20,4, fisherman ,499,2138,2637,249.4,50.8,yes
32,1,5,20,7, herself ,347,2987,3334,399.29,59,yes
32,1,5,20,9, sailboat ,299,3436,3735,491,59,yes
32,1,5,20,10, learned ,503,3735,4238,543.2,59,yes
32,1,5,22,6, taught ,804,2099,2903,309.38,53.75,yes
32,1,5,22,7, herself ,494,2903,3397,356.5,56.6,yes
32,1,5,22,8, advanced ,499,3906,4405,449.6,56.2,yes
32,1,5,22,9, mathematics ,407,4848,5255,578.75,42.25,yes
32,1,5,23,3, the ,300,2408,2708,186.33,45,yes
32,1,5,23,6, trained ,264,3057,3321,329.2,50.2,yes
32,1,5,23,7, herself ,287,3321,3608,395.33,57,yes
32,1,5,23,14, restaurant. ,798,7768,8566,706.5,38.69,yes
32,1,5,24,7, herself ,1497,7895,9392,405,45.07,no
32,1,2,27,1, tourist ,448,2142,2590,133.67,49.67,no
32,1,2,27,2, photographed ,650,2590,3240,232.62,51.62,no
32,1,2,27,4," swimmer, ",597,3292,3889,389.17,41.17,no
32,1,2,27,12, race. ,501,4789,5290,712.86,49.71,no
32,1,2,28,0, The ,359,1761,2120,86,49.71,no
32,1,2,28,3, fed ,248,2321,2569,200,55,no
32,1,2,28,4, her ,551,2569,3120,229,52.64,no
32,1,2,28,6," cat, ",357,3313,3670,292.14,45,no
32,1,2,28,7, and ,339,3670,4009,327,45,no
32,1,2,28,8, her ,310,4009,4319,368.33,45,no
32,1,2,28,9, dog ,249,4319,4568,399.8,45.2,no
32,1,2,28,10, wanted ,299,4568,4867,444.33,49,no
32,1,2,28,13, of ,549,5018,5567,538.36,56.36,no
32,1,2,29,0, The ,250,2350,2600,89.6,34.4,no
32,1,2,29,1, ranger ,401,2600,3001,138.25,42.62,no
32,1,2,29,2, gave ,748,3001,3749,196.33,44.47,no
32,1,2,29,3, matches ,699,3749,4448,245.79,49.29,no
32,1,2,29,4, to ,600,4448,5048,295.92,51,no
32,1,2,29,5, the ,349,5048,5397,324.71,51,no
32,1,2,29,6," camper, ",2251,5397,7648,383.49,56.22,no
32,1,2,29,7, and ,303,7648,7951,421.33,58.67,no
32,1,2,29,9, friend ,350,9847,10197,514.29,58.86,no
32,1,2,29,10, made ,511,10197,10708,564,52,no
32,1,2,29,12, fire ,247,10912,11159,621.6,43.2,no
32,1,2,29,15, tent. ,359,11400,11759,717.57,40.86,no
32,1,2,30,1, listened ,1440,3494,4934,133,58,no
