sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
55,1,1,1,0, The ,399,10055,10454,101.44,33.06,No
55,1,1,1,1, witness ,125,10454,10579,153,43.4,No
55,1,1,1,2, identified ,124,10579,10703,222.8,45.6,No
55,1,1,1,9, away ,447,11629,12076,482.44,45.06,No
55,1,1,2,0, Jenny ,123,829,952,115.2,42.8,No
55,1,1,2,1, talked ,223,952,1175,162.67,43.22,No
55,1,1,2,2, to ,123,1175,1298,202.4,46.4,No
55,1,1,2,3, the ,126,1899,2025,233.2,45.6,No
55,1,1,2,4, reporter ,423,2025,2448,265.59,41.24,No
55,1,1,2,5, and ,141,2448,2589,324.8,37.6,No
55,1,1,2,6, the ,484,2589,3073,358.95,42.7,No
55,1,1,2,7, photographer ,176,3073,3249,437.29,41.71,No
55,1,1,2,8, took ,131,3249,3380,508.4,41,No
55,1,1,2,9, pictures ,543,3380,3923,572.27,39.64,No
55,1,1,3,0, The ,78,760,838,92,39.33,Yes
55,1,1,3,6, the ,72,1986,2058,355,44,Yes
55,1,1,3,7, salesman ,179,2058,2237,414.43,41.14,Yes
55,1,1,3,8, reported ,484,2237,2721,486.05,42.37,Yes
55,1,1,3,10, crime ,74,2782,2856,592.67,42,Yes
55,1,1,3,11, to ,77,2856,2933,618.67,42,Yes
55,1,1,3,12, the ,107,2933,3040,639.5,42.5,Yes
55,1,1,3,13, police. ,95,3040,3135,674.25,44,Yes
55,1,1,4,0, The ,829,383,1212,111.52,30.36,Yes
55,1,1,4,1, journalist ,81,1212,1293,155.33,37.33,Yes
55,1,1,4,8, newspaper ,81,2658,2739,545.67,46,Yes
55,1,1,5,0, Sam ,183,1011,1194,112.86,36.43,Yes
55,1,1,5,1, hired ,196,1194,1390,145.88,42,Yes
55,1,1,5,3, plumber ,73,1764,1837,239,34.67,Yes
55,1,1,5,6, carpenter ,578,1936,2514,395.35,42.35,Yes
55,1,1,5,7, ordered ,74,2514,2588,452.33,37,Yes
55,1,1,5,9, materials ,275,2611,2886,553.18,33.18,Yes
55,1,1,5,11, the ,101,3312,3413,644.75,47,Yes
55,1,1,6,0, The ,383,771,1154,97,41.13,Yes
55,1,1,6,1, police ,351,1900,2251,154.71,43.36,Yes
55,1,1,6,2, arrested ,330,2251,2581,217.69,27.08,Yes
55,1,1,6,3, the ,390,2581,2971,254.47,36.4,Yes
55,1,1,6,2, arrested ,76,2971,3047,205.67,44.67,Yes
55,1,1,6,1, police ,399,3047,3446,138.5,41.31,Yes
55,1,1,6,0, The ,101,3446,3547,114.75,46.25,Yes
