sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
56,1,1,1,0, The ,134,1105,1239,92.8,31.4,No
56,1,1,1,-1,,499,1239,1738,83.55,22.4,No
56,1,1,1,0, The ,706,1738,2444,98.46,41.71,No
56,1,1,1,1, witness ,340,2444,2784,145.29,38.14,No
56,1,1,1,2, identified ,635,2784,3419,210.36,37.48,No
56,1,1,1,3, the ,563,3419,3982,283.39,33,No
56,1,1,1,4, man ,82,3982,4064,310.33,33,No
56,1,1,1,5, and ,621,4064,4685,350.4,33,No
56,1,1,1,6, his ,631,4685,5316,387.64,33.6,No
56,1,1,1,7, wife ,114,5316,5430,417.8,33.4,No
56,1,1,1,8, ran ,606,5430,6036,447.29,33.88,No
56,1,1,1,9, away ,557,6036,6593,499.14,34,No
56,1,1,1,10, from ,105,6593,6698,534.25,34,No
56,1,1,1,11, the ,513,6698,7211,565.81,34.71,No
56,1,1,1,12, police ,80,7211,7291,607.33,34.33,No
56,1,1,1,13, station. ,7233,7291,14524,645.6,37.7,No
56,1,1,2,0, Jenny ,1119,896,2015,109.2,42.68,No
56,1,1,2,1, talked ,81,2015,2096,145,45.75,No
56,1,1,2,-1,,487,2096,2583,160.63,49.42,No
56,1,1,2,3, the ,78,2583,2661,228.33,44.67,No
56,1,1,2,4, reporter ,581,2661,3242,249.91,44.13,No
56,1,1,2,5, and ,606,3242,3848,337.28,41,No
56,1,1,2,7, photographer ,747,3894,4641,423.38,42.48,No
56,1,1,2,8, took ,491,4641,5132,504.6,42.95,No
56,1,1,2,9, pictures ,144,5132,5276,571.33,30.67,No
56,1,1,2,10, of ,500,5276,5776,603.8,30.8,No
56,1,1,2,12, scene. ,627,5821,6448,669.08,45.04,No
56,1,1,2,-1,,6490,6448,12938,670,54,No
56,1,1,3,0, The ,500,1442,1942,97.9,36.85,Yes
56,1,1,3,1, robber ,271,1942,2213,152.6,36.6,Yes
56,1,1,3,2, shot ,395,2213,2608,183,37.94,Yes
56,1,1,3,4, jeweler ,684,2639,3323,275.82,32.57,Yes
56,1,1,3,5, and ,200,3323,3523,333.38,33,Yes
56,1,1,3,6, the ,383,3523,3906,348.53,33.87,Yes
56,1,1,3,7, salesman ,678,3906,4584,430.59,32.67,Yes
56,1,1,3,8, reported ,617,4584,5201,492.84,38.6,Yes
56,1,1,3,10, crime ,546,5242,5788,583.19,40.76,Yes
56,1,1,3,13, police. ,170,5851,6021,671.43,40,Yes
56,1,1,3,-1,,6408,6021,12429,661,69,Yes
56,1,1,4,0, The ,129,1317,1446,98.8,46,Yes
56,1,1,4,-1,,530,1446,1976,102.48,47,Yes
56,1,1,4,1, journalist ,242,2008,2250,180.5,41.5,Yes
56,1,1,4,2, criticized ,1124,2250,3374,230.4,41.98,Yes
56,1,1,4,4, and ,693,3426,4119,333,34.04,Yes
56,1,1,4,5, Sam ,551,4119,4670,375.5,36.41,Yes
56,1,1,4,6, called ,653,4670,5323,423.65,40.15,Yes
56,1,1,4,7, the ,97,5323,5420,457,39.5,Yes
56,1,1,4,8, newspaper ,748,5420,6168,496.1,38.8,Yes
56,1,1,4,9, to ,730,6168,6898,580.93,35,Yes
56,1,1,4,10, complain. ,268,6898,7166,620.27,41.73,Yes
56,1,1,4,-1,,6157,7166,13323,631,49,Yes
56,1,1,5,0, Sam ,74,1369,1443,87,39.67,Yes
56,1,1,5,-1,,461,1443,1904,87.22,55.33,Yes
56,1,1,5,0, Sam ,491,1904,2395,94.9,38.9,Yes
56,1,1,5,1, hired ,567,2395,2962,153.59,33,Yes
56,1,1,5,3, plumber ,618,3031,3649,220.64,39.08,Yes
56,1,1,5,4, and ,545,3649,4194,298.18,44.55,Yes
56,1,1,5,-1,,650,4291,4941,362.77,48.85,Yes
56,1,1,5,6, carpenter ,301,4941,5242,399.5,43.42,Yes
56,1,1,5,7, ordered ,708,5242,5950,457.11,40.04,Yes
56,1,1,5,9, materials ,649,5994,6643,564.46,27.23,Yes
56,1,1,5,11, the ,105,6669,6774,636,37.25,Yes
56,1,1,5,12, house. ,6581,6774,13355,666.82,41.29,Yes
56,1,1,6,0, The ,599,2049,2648,95.54,39.96,Yes
56,1,1,6,1, police ,249,2648,2897,150.8,39,Yes
56,1,1,6,2, arrested ,577,2897,3474,207.74,38.96,Yes
56,1,1,6,4, burglar ,610,3524,4134,304.5,34.79,Yes
56,1,1,6,5, and ,81,4134,4215,358.67,35.67,Yes
56,1,1,6,6, his ,549,4215,4764,382.09,37.95,Yes
56,1,1,6,7, brother ,251,4764,5015,440.5,39.6,Yes
56,1,1,6,8, phoned ,403,5015,5418,469.44,41.38,Yes
56,1,1,6,10, lawyer ,643,5418,6061,564.62,40.46,Yes
56,1,1,6,12, help. ,251,6101,6352,652.7,41.5,Yes
56,1,1,6,-1,,8679,6352,15031,656.5,50,Yes
56,1,1,7,0, The ,107,1070,1177,88.5,36,No
56,1,1,7,-1,,394,1177,1571,81.56,34,No
56,1,1,7,0, The ,149,1571,1720,102.5,36.83,No
56,1,1,7,1, knight ,521,1720,2241,150.4,38,No
56,1,1,7,2, greeted ,114,2241,2355,210.8,38,No
56,1,1,7,3, the ,603,2355,2958,261.96,38,No
56,1,1,7,4, king ,98,2958,3056,286.5,35,No
56,1,1,7,5, and ,570,3056,3626,327.17,34,No
56,1,1,7,7, queen ,703,3645,4348,413.82,30,No
56,1,1,7,8, waved ,801,4348,5149,454.19,34.12,No
56,1,1,7,10, her ,151,5169,5320,530.33,33,No
56,1,1,7,11, people ,851,5320,6171,564.32,38.71,No
56,1,1,7,13, the ,101,6220,6321,638.25,41.5,No
56,1,1,7,14, feast. ,102,6321,6423,649.5,44,No
56,1,1,7,-1,,7864,6423,14287,651.4,53,No
56,1,1,8,0, The ,503,1443,1946,102.8,42.5,Yes
56,1,1,8,1, customer ,817,1946,2763,173.17,35.07,Yes
56,1,1,8,2, complained ,818,2763,3581,258.75,36.19,Yes
56,1,1,8,3, about ,98,3581,3679,328.25,34.25,Yes
56,1,1,8,4, the ,570,3679,4249,367.17,34,Yes
56,1,1,8,5, waiter ,84,4249,4333,410,30,Yes
56,1,1,8,6, and ,648,4333,4981,452.38,29.08,Yes
56,1,1,8,7, the ,581,4981,5562,484.09,37.39,Yes
56,1,1,8,9, gave ,563,5596,6159,558.64,38.91,Yes
56,1,1,8,12, free ,501,6222,6723,645.75,34.9,Yes
56,1,1,8,13, dessert. ,445,6723,7168,678.61,42.67,Yes
56,1,1,8,-1,,6066,7168,13234,671,55,Yes
56,1,2,9,0, The ,580,1643,2223,101.39,36.87,Yes
56,1,2,9,1, crowd ,132,2223,2355,151,35.2,Yes
56,1,2,9,2, cheered ,619,2355,2974,201.12,37.96,Yes
56,1,2,9,3, for ,133,2974,3107,259.8,37,Yes
56,1,2,9,4, the ,436,3107,3543,275,37,Yes
56,1,2,9,5," model, ",218,3543,3761,340.5,33.5,Yes
56,1,2,9,6, and ,409,3761,4170,366.12,34,Yes
56,1,2,9,8, designer ,693,4197,4890,458.48,33.85,Yes
56,1,2,9,11, bow ,598,4952,5550,574.21,32.83,Yes
56,1,2,9,9, took ,185,5596,5781,531.57,34,Yes
56,1,2,9,14, show. ,455,5888,6343,688.37,42.58,Yes
56,1,2,9,-1,,5844,6343,12187,667.67,55,Yes
56,1,2,10,0, The ,650,1686,2336,105.5,42.69,No
56,1,2,10,1, juggler ,283,2336,2619,141.18,42,No
56,1,2,10,2, entertained ,983,2619,3602,223.54,39.28,No
56,1,2,10,3, the ,220,3602,3822,289.67,37.89,No
