sbm_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
7,1,0, In ,201,1724,1925,477,90,advantages
7,1,1, my ,298,1925,2223,493.67,90,advantages
7,1,2, younger ,501,2223,2724,531.4,91.4,advantages
7,1,3, and ,202,2724,2926,591,88,advantages
7,1,4, more ,599,2926,3525,647.17,86.83,advantages
7,1,5, vulnerable ,200,3525,3725,727,85,advantages
7,1,6, years ,602,3725,4327,771.5,84.5,advantages
7,1,8, father ,197,4327,4524,837.5,92,advantages
7,1,9, gave ,404,4524,4928,893.25,92.25,advantages
7,1,6, years ,102,5024,5126,768,98,advantages
7,1,5, vulnerable ,298,5126,5424,716,84,advantages
7,1,1, my ,200,5524,5724,496,97.5,advantages
7,1,11, some ,401,5724,6125,491.75,113.75,advantages
7,1,12, advice ,299,6125,6424,531,119.67,advantages
7,1,13, that ,200,6424,6624,589.5,114,advantages
7,1,14, I've ,104,6624,6728,621,113,advantages
7,1,15, been ,396,6728,7124,651.75,113,advantages
7,1,16, turning ,200,7124,7324,718,113.5,advantages
7,1,17, over ,601,7324,7925,743.33,112,advantages
7,1,19, my ,104,8024,8128,807,122,advantages
7,1,20, mind ,296,8128,8424,847.33,121,advantages
7,1,21, ever ,200,8424,8624,888.5,117.5,advantages
7,1,22, since. ,503,8624,9127,933.2,117,advantages
7,1,27, criticizing ,103,9224,9327,706,130,advantages
7,1,34, remember ,300,9524,9824,503.33,160.33,advantages
7,1,23, Whenever ,500,9824,10324,495.4,145,advantages
7,1,25, feel ,103,10424,10527,589,145,advantages
7,1,26, like ,198,10527,10725,632,140,advantages
7,1,27, criticizing ,203,10725,10928,687,141,advantages
7,1,28," anyone, ",895,10928,11823,757.22,133.11,advantages
7,1,29, he ,102,11823,11925,809,140,advantages
7,1,31, me ,307,12023,12330,869,137.67,advantages
7,1,32," had, ",394,12330,12724,888.5,140.5,advantages
7,1,33, 'just ,301,12724,13025,929,152,advantages
7,1,45, advantages ,299,13224,13523,503.33,199.33,advantages
7,1,34, remember ,401,13523,13924,513.5,166,advantages
7,1,38, people ,202,14122,14324,653.5,160,advantages
7,1,39, in ,499,14324,14823,706.8,161,advantages
7,1,40, this ,104,14823,14927,718,161,advantages
7,1,41, world ,196,14927,15123,772,165,advantages
7,1,42, haven't ,503,15123,15626,814.8,164,advantages
7,1,43, had ,197,15626,15823,881,165.5,advantages
7,1,44, the ,200,15823,16023,904,167,advantages
7,1,43, had ,101,16023,16124,872,170,advantages
7,1,42, haven't ,499,16124,16623,696.6,203.4,advantages
7,1,45, advantages ,502,16623,17125,518.8,198.2,advantages
7,1,46, that ,200,17125,17325,578,192.5,advantages
7,1,47, you've ,199,17325,17524,617.5,191.5,advantages
7,1,48, had. ,3542,17524,21066,664.72,201.83,advantages
7,2,0, Neighbours ,799,1258,2057,497.75,90.12,Boo
7,2,1, bring ,600,2057,2657,585.67,86.33,Boo
7,2,4, death ,504,2755,3259,698.6,80.6,Boo
7,2,5, and ,498,3259,3757,766.2,83.4,Boo
7,2,6, flowers ,500,3757,4257,820.2,83.2,Boo
7,2,8, sickness ,400,4356,4756,905.75,82,Boo
7,2,9, and ,201,4756,4957,950.5,83,Boo
7,2,27, and ,101,5156,5257,706,128,Boo
7,2,13, between. ,500,5257,5757,608,114.8,Boo
7,2,11, things ,300,5757,6057,518.67,124,Boo
7,2,10, little ,200,6057,6257,494,122.5,Boo
7,2,11, things ,202,6257,6459,544,124.5,Boo
7,2,13, between. ,403,6554,6957,621.75,124.5,Boo
7,2,14, Boo ,101,6957,7058,684,113,Boo
7,2,15, was ,400,7058,7458,713.5,112,Boo
7,2,17, neighbour. ,399,7458,7857,800.75,109,Boo
7,2,19, gave ,201,7956,8157,896.5,117,Boo
7,2,20, us ,300,8157,8457,926.33,120,Boo
7,2,27, and ,101,8557,8658,701,137,Boo
7,2,24, a ,101,8757,8858,553,151,Boo
7,2,23," dolls, ",399,8858,9257,526.5,149.25,Boo
7,2,24, a ,101,9257,9358,563,148,Boo
7,2,26, watch ,200,9457,9657,671.5,152.5,Boo
7,2,29, a ,102,9757,9859,777,140,Boo
7,2,32, good ,598,10058,10656,861,140.67,Boo
7,2,31, of ,101,10656,10757,831,142,Boo
7,2,28," chain, ",103,10857,10960,716,148,Boo
7,2,34," pennies, ",500,11157,11657,502.8,167.4,Boo
7,2,37, lives. ,5243,11857,17100,637.62,173.45,Boo
7,3,1, wanted ,800,1407,2207,482.88,85.88,account
7,3,2, to ,101,2207,2308,550,89,account
7,3,3, live ,299,2308,2607,573,88.67,account
7,3,4, deep ,703,2607,3310,598.29,87.57,account
7,3,5, and ,197,3310,3507,649,84,account
7,3,6, suck ,202,3507,3709,688.5,81.5,account
7,3,7, out ,600,3709,4309,720.17,77.83,account
7,3,9, the ,200,4407,4607,777.5,92,account
7,3,10, marrow ,800,4607,5407,827.25,87.12,account
7,3,11, of ,101,5407,5508,872,88,account
7,3,12," life, ",108,5508,5616,901,89,account
7,3,13, to ,291,5616,5907,924.67,90.33,account
7,3,14, live ,199,5907,6106,943,93,account
7,3,12," life, ",101,6106,6207,895,93,account
7,3,6, suck ,101,6207,6308,692,95,account
7,3,16, sturdily ,200,6507,6707,519.5,104.5,account
7,3,15, so ,300,6707,7007,477.67,112.67,account
7,3,16, sturdily ,301,7007,7308,513.67,115.33,account
7,3,17, and ,199,7308,7507,571,118,account
7,3,18, Spartan-like ,501,7507,8008,636.4,111.8,account
7,3,19, as ,599,8008,8607,703.33,116.33,account
7,3,22, to ,201,8707,8908,770.5,118,account
7,3,24, all ,200,9007,9207,833.5,116,account
7,3,25, that ,501,9207,9708,856.2,115.4,account
7,3,26, was ,599,9708,10307,906.67,117.83,account
7,3,23, rout ,101,10307,10408,822,124,account
7,3,29, to ,201,10907,11108,506,139.5,account
7,3,28," life, ",199,11108,11307,493,141.5,account
7,3,29, to ,200,11307,11507,506.5,145.5,account
7,3,32, broad ,101,11707,11808,581,146,account
7,3,33, swath ,199,11808,12007,645.5,139.5,account
7,3,34, and ,201,12007,12208,678.5,139.5,account
7,3,35, shave ,299,12208,12507,729.67,146.67,account
7,3,36," close, ",400,12507,12907,778.5,138.75,account
7,3,37, to ,199,12907,13106,811.5,136,account
7,3,38, drive ,501,13106,13607,837.4,140.6,account
7,3,40, into ,603,13707,14310,922.83,142.17,account
7,3,41, a ,798,14310,15108,937.88,144.88,account
7,3,39, life ,104,15207,15311,888,145,account
7,3,35, shave ,200,15407,15607,729.5,141.5,account
7,3,34, and ,102,15607,15709,681,147,account
7,3,42," corner, ",1101,15807,16908,476.64,162.36,account
7,3,43, and ,205,16908,17113,544,172.5,account
7,3,44, reduce ,294,17113,17407,578,172,account
7,3,46, to ,500,17507,18007,643.8,168.2,account
7,3,48, lowest ,301,18007,18308,708,173,account
7,3,49," terms, ",499,18308,18807,754.4,174.8,account
7,3,50," and, ",101,18807,18908,814,171,account
7,3,52, it ,497,19007,19504,851.8,171.2,account
7,3,53, proved ,207,19504,19711,898.5,170,account
7,3,54, to ,496,19711,20207,934.8,168.8,account
7,3,57, why ,400,20507,20907,534,201,account
7,3,57, why ,101,21007,21108,521,197,account
7,3,58, then ,199,21108,21307,570.5,197,account
7,3,61, the ,200,21507,21707,654,193.5,account
7,3,62, whole ,200,21707,21907,695.5,194.5,account
7,3,63, and ,498,21907,22405,736.6,198,account
7,3,64, genuine ,202,22405,22607,807,204.5,account
