sbm_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
8,1,48, had. ,100,2123,2223,488,204,advantages
8,1,24, you ,101,2223,2324,476,138,advantages
8,1,0, In ,1899,2324,4223,472.68,93.16,advantages
8,1,1, my ,101,4223,4324,496,97,advantages
8,1,2, younger ,400,4324,4724,540.5,97.75,advantages
8,1,3, and ,399,4724,5123,587.75,93,advantages
8,1,4, more ,200,5123,5323,634.5,94,advantages
8,1,5, vulnerable ,503,5323,5826,689.4,96.6,advantages
8,1,6, years ,101,5826,5927,754,99,advantages
8,1,7, my ,100,5927,6027,784,100,advantages
8,1,8, father ,202,6027,6229,821.5,101,advantages
8,1,9, gave ,195,6229,6424,867,97,advantages
8,1,10, me ,305,6424,6729,904.67,97,advantages
8,1,7, my ,198,6729,6927,785.5,83.5,advantages
8,1,2, younger ,198,6927,7125,524,98,advantages
8,1,12, advice ,503,7125,7628,487,118.8,advantages
8,1,13, that ,103,7628,7731,524,120,advantages
8,1,14, I've ,101,7731,7832,550,120,advantages
8,1,15, been ,192,7832,8024,600.5,124.5,advantages
8,1,16, turning ,504,8024,8528,644.2,127,advantages
8,1,17, over ,102,8528,8630,703,124,advantages
8,1,18, in ,104,8630,8734,726,124,advantages
8,1,19, my ,95,8734,8829,749,124,advantages
8,1,20, mind ,200,8829,9029,789,125.5,advantages
8,1,21, ever ,194,9029,9223,849,131.5,advantages
8,1,22, since. ,107,9223,9330,886,129,advantages
8,1,23, Whenever ,393,9330,9723,933.75,120.25,advantages
8,1,21, ever ,106,9723,9829,775,106,advantages
8,1,4, more ,101,9829,9930,556,108,advantages
8,1,12, advice ,199,9930,10129,493.5,126,advantages
8,1,24, you ,695,10129,10824,479.57,151.57,advantages
8,1,25, feel ,301,10824,11125,511.33,146.33,advantages
8,1,26, like ,303,11125,11428,541.67,150,advantages
8,1,27, criticizing ,500,11428,11928,594.2,155.6,advantages
8,1,28," anyone, ",197,11928,12125,666,153,advantages
8,1,29, he ,199,12125,12324,707,150.5,advantages
8,1,30, told ,100,12324,12424,736,150,advantages
8,1,31, me ,1000,12424,13424,771.2,151.1,advantages
8,1,30, told ,501,13424,13925,736,152,advantages
8,1,29, he ,600,13925,14525,707.83,152,advantages
8,1,30, told ,200,14525,14725,731,149.5,advantages
8,1,31, me ,400,14725,15125,761.5,149,advantages
8,1,29, he ,100,15125,15225,707,149,advantages
8,1,28," anyone, ",401,15225,15626,668,150.25,advantages
8,1,27, criticizing ,98,15626,15724,595,154,advantages
8,1,26, like ,100,15724,15824,555,155,advantages
8,1,25, feel ,601,15824,16425,511.17,145.17,advantages
8,1,26, like ,101,16425,16526,549,148,advantages
8,1,27, criticizing ,99,16526,16625,592,150,advantages
8,1,28," anyone, ",199,16625,16824,669.5,150,advantages
8,1,29, he ,501,16824,17325,701.4,150,advantages
8,1,30, told ,199,17325,17524,730.5,152,advantages
8,1,31, me ,101,17524,17625,774,156,advantages
8,1,32," had, ",499,17625,18124,792.2,156,advantages
8,1,31, me ,100,18124,18224,755,151,advantages
8,1,29, he ,700,18224,18924,704.71,147.14,advantages
8,1,30, told ,200,18924,19124,731,147,advantages
8,1,31, me ,100,19124,19224,767,147,advantages
8,1,32," had, ",400,19224,19624,796,150,advantages
8,1,31, me ,500,19624,20124,734.2,161.2,advantages
8,1,30, told ,501,20124,20625,725.4,147.6,advantages
8,1,31, me ,98,20625,20723,768,146,advantages
8,1,32," had, ",101,20723,20824,801,147,advantages
8,1,33, 'just ,500,20824,21324,840.2,150.8,advantages
8,1,34, remember ,500,21324,21824,928.4,161.4,advantages
8,1,35, that ,1100,21824,22924,942.73,146.27,advantages
8,1,34, remember ,401,22924,23325,906.25,157.75,advantages
8,1,32," had, ",99,23325,23424,808,141,advantages
8,1,30, told ,300,23424,23724,735.33,142.33,advantages
8,1,29, he ,100,23724,23824,718,146,advantages
8,1,30, told ,101,23824,23925,740,144,advantages
8,1,32," had, ",99,23925,24024,793,141,advantages
8,1,33, 'just ,100,24024,24124,822,141,advantages
8,1,34, remember ,700,24124,24824,899.43,145.57,advantages
8,1,29, he ,101,24824,24925,699,139,advantages
8,1,27, criticizing ,99,24925,25024,564,154,advantages
8,1,25, feel ,300,25024,25324,466.67,160,advantages
8,1,36, all ,400,25324,25724,471.25,180.25,advantages
8,1,37, the ,100,25724,25824,493,181,advantages
8,1,38, people ,300,25824,26124,534.33,177.33,advantages
8,1,39, in ,101,26124,26225,580,170,advantages
8,1,40, this ,99,26225,26324,600,170,advantages
8,1,41, world ,500,26324,26824,633,172.8,advantages
8,1,42, haven't ,301,26824,27125,691.33,175.67,advantages
8,1,43, had ,199,27125,27324,733.5,173,advantages
