experiment_id,condition_id,para_nr,word,word_nr,response_true
1,1,1,The,0,No
1,1,1,witness,1,No
1,1,1,identified,2,No
1,1,1,the,3,No
1,1,1,man,4,No
1,1,1,and,5,No
1,1,1,his,6,No
1,1,1,wife,7,No
1,1,1,ran,8,No
1,1,1,away,9,No
1,1,1,from,10,No
1,1,1,the,11,No
1,1,1,police,12,No
1,1,1,station.,13,No
1,1,2,Jenny,0,No
1,1,2,talked,1,No
1,1,2,to,2,No
1,1,2,the,3,No
1,1,2,reporter,4,No
1,1,2,and,5,No
1,1,2,the,6,No
1,1,2,photographer,7,No
1,1,2,took,8,No
1,1,2,pictures,9,No
1,1,2,of,10,No
1,1,2,the,11,No
1,1,2,scene.,12,No
1,1,3,The,0,Yes
1,1,3,robber,1,Yes
1,1,3,shot,2,Yes
1,1,3,the,3,Yes
1,1,3,jeweler,4,Yes
1,1,3,and,5,Yes
1,1,3,the,6,Yes
1,1,3,salesman,7,Yes
1,1,3,reported,8,Yes
1,1,3,the,9,Yes
1,1,3,crime,10,Yes
1,1,3,to,11,Yes
1,1,3,the,12,Yes
1,1,3,police.,13,Yes
1,1,4,The,0,Yes
1,1,4,journalist,1,Yes
1,1,4,criticized,2,Yes
1,1,4,Nick,3,Yes
1,1,4,and,4,Yes
1,1,4,Sam,5,Yes
1,1,4,called,6,Yes
1,1,4,the,7,Yes
1,1,4,newspaper,8,Yes
1,1,4,to,9,Yes
1,1,4,complain.,10,Yes
1,1,5,Sam,0,Yes
1,1,5,hired,1,Yes
1,1,5,the,2,Yes
1,1,5,plumber,3,Yes
1,1,5,and,4,Yes
1,1,5,the,5,Yes
1,1,5,carpenter,6,Yes
1,1,5,ordered,7,Yes
1,1,5,the,8,Yes
1,1,5,materials,9,Yes
1,1,5,for,10,Yes
1,1,5,the,11,Yes
1,1,5,house.,12,Yes
1,1,6,The,0,Yes
1,1,6,police,1,Yes
1,1,6,arrested,2,Yes
1,1,6,the,3,Yes
1,1,6,burglar,4,Yes
1,1,6,and,5,Yes
1,1,6,his,6,Yes
1,1,6,brother,7,Yes
1,1,6,phoned,8,Yes
1,1,6,a,9,Yes
1,1,6,lawyer,10,Yes
1,1,6,for,11,Yes
1,1,6,help.,12,Yes
1,1,7,The,0,No
1,1,7,knight,1,No
1,1,7,greeted,2,No
1,1,7,the,3,No
1,1,7,king,4,No
1,1,7,and,5,No
1,1,7,the,6,No
1,1,7,queen,7,No
1,1,7,waved,8,No
1,1,7,to,9,No
1,1,7,her,10,No
1,1,7,people,11,No
1,1,7,at,12,No
1,1,7,the,13,No
1,1,7,feast.,14,No
1,1,8,The,0,Yes
1,1,8,customer,1,Yes
1,1,8,complained,2,Yes
1,1,8,about,3,Yes
1,1,8,the,4,Yes
1,1,8,waiter,5,Yes
1,1,8,and,6,Yes
1,1,8,the,7,Yes
1,1,8,chef,8,Yes
1,1,8,gave,9,Yes
1,1,8,him,10,Yes
1,1,8,a,11,Yes
1,1,8,free,12,Yes
1,1,8,dessert.,13,Yes
1,2,9,The,0,Yes
1,2,9,crowd,1,Yes
1,2,9,cheered,2,Yes
1,2,9,for,3,Yes
1,2,9,the,4,Yes
1,2,9,"model,",5,Yes
1,2,9,and,6,Yes
1,2,9,the,7,Yes
1,2,9,designer,8,Yes
1,2,9,took,9,Yes
1,2,9,a,10,Yes
1,2,9,bow,11,Yes
1,2,9,after,12,Yes
1,2,9,the,13,Yes
1,2,9,show.,14,Yes
1,2,10,The,0,No
1,2,10,juggler,1,No
1,2,10,entertained,2,No
1,2,10,the,3,No
1,2,10,"children,",4,No
1,2,10,and,5,No
1,2,10,their,6,No
1,2,10,parents,7,No
1,2,10,drank,8,No
1,2,10,wine,9,No
1,2,10,at,10,No
1,2,10,the,11,No
1,2,10,party.,12,No
1,2,11,The,0,No
1,2,11,woman,1,No
1,2,11,dressed,2,No
1,2,11,her,3,No
1,2,11,"baby,",4,No
1,2,11,and,5,No
1,2,11,her,6,No
1,2,11,son,7,No
1,2,11,got,8,No
1,2,11,his,9,No
1,2,11,clothes,10,No
1,2,11,from,11,No
1,2,11,the,12,No
1,2,11,dresser.,13,No
1,2,12,Diane,0,Yes
1,2,12,hugged,1,Yes
1,2,12,her,2,Yes
1,2,12,"boyfriend,",3,Yes
1,2,12,and,4,Yes
1,2,12,her,5,Yes
1,2,12,friend,6,Yes
1,2,12,felt,7,Yes
1,2,12,uncomfortable,8,Yes
1,2,12,watching,9,Yes
1,2,12,them.,10,Yes
1,2,13,The,0,Yes
1,2,13,producer,1,Yes
1,2,13,replaced,2,Yes
1,2,13,the,3,Yes
1,2,13,"actor,",4,Yes
1,2,13,and,5,Yes
1,2,13,the,6,Yes
1,2,13,actress,7,Yes
1,2,13,quit,8,Yes
1,2,13,the,9,Yes
1,2,13,movie,10,Yes
1,2,13,after,11,Yes
1,2,13,the,12,Yes
1,2,13,fight.,13,Yes
1,2,14,The,0,Yes
1,2,14,audience,1,Yes
1,2,14,applauded,2,Yes
1,2,14,the,3,Yes
1,2,14,"guitarist,",4,Yes
1,2,14,and,5,Yes
1,2,14,the,6,Yes
1,2,14,band,7,Yes
1,2,14,cheered,8,Yes
1,2,14,for,9,Yes
1,2,14,him,10,Yes
1,2,14,very,11,Yes
1,2,14,loudly.,12,Yes
1,2,15,Jim,0,No
1,2,15,listened,1,No
1,2,15,to,2,No
1,2,15,the,3,No
1,2,15,"pianist,",4,No
1,2,15,and,5,No
1,2,15,the,6,No
1,2,15,singer,7,No
1,2,15,watched,8,No
1,2,15,the,9,No
1,2,15,organist,10,No
1,2,15,at,11,No
1,2,15,the,12,No
1,2,15,concert.,13,No
1,2,16,The,0,No
1,2,16,ranger,1,No
1,2,16,gave,2,No
1,2,16,matches,3,No
1,2,16,to,4,No
1,2,16,the,5,No
1,2,16,"camper,",6,No
1,2,16,and,7,No
1,2,16,his,8,No
1,2,16,friend,9,No
1,2,16,made,10,No
1,2,16,a,11,No
1,2,16,fire,12,No
1,2,16,by,13,No
1,2,16,the,14,No
1,2,16,tent.,15,No
