expr_id,cond_id,para_nr,word,word_nr,response_true
1,7,103,Maya,0,yes
1,7,103,played,1,yes
1,7,103,with,2,yes
1,7,103,the,3,yes
1,7,103,blocks,4,yes
1,7,103,and,5,yes
1,7,103,the,6,yes
1,7,103,"balls,",7,yes
1,7,103,but,8,yes
1,7,103,she,9,yes
1,7,103,soon,10,yes
1,7,103,got,11,yes
1,7,103,bored,12,yes
1,7,103,with,13,yes
1,7,103,them.,14,yes
1,7,102,The,0,no
1,7,102,patient,1,no
1,7,102,who,2,no
1,7,102,the,3,no
1,7,102,doctor,4,no
1,7,102,treated,5,no
1,7,102,became,6,no
1,7,102,better,7,no
1,7,102,after,8,no
1,7,102,only,9,no
1,7,102,a,10,no
1,7,102,few,11,no
1,7,102,treatments.,12,no
1,7,101,The,0,no
1,7,101,husband,1,no
1,7,101,of,2,no
1,7,101,the,3,no
1,7,101,beautiful,4,no
1,7,101,woman,5,no
1,7,101,bought,6,no
1,7,101,her,7,no
1,7,101,roses,8,no
1,7,101,and,9,no
1,7,101,candy,10,no
1,7,101,for,11,no
1,7,101,her,12,no
1,7,101,birthday.,13,no
