para_nr,word,word_nr,response_true
1,In,0," ""advantages"""
1,my,1," ""advantages"""
1,younger,2," ""advantages"""
1,and,3," ""advantages"""
1,more,4," ""advantages"""
1,vulnerable,5," ""advantages"""
1,years,6," ""advantages"""
1,my,7," ""advantages"""
1,father,8," ""advantages"""
1,gave,9," ""advantages"""
1,me,10," ""advantages"""
1,some,11," ""advantages"""
1,advice,12," ""advantages"""
1,that,13," ""advantages"""
1,I've,14," ""advantages"""
1,been,15," ""advantages"""
1,turning,16," ""advantages"""
1,over,17," ""advantages"""
1,in,18," ""advantages"""
1,my,19," ""advantages"""
1,mind,20," ""advantages"""
1,ever,21," ""advantages"""
1,since.,22," ""advantages"""
1,Whenever,23," ""advantages"""
1,you,24," ""advantages"""
1,feel,25," ""advantages"""
1,like,26," ""advantages"""
1,criticizing,27," ""advantages"""
1,"anyone,",28," ""advantages"""
1,he,29," ""advantages"""
1,told,30," ""advantages"""
1,me,31," ""advantages"""
1,"had,",32," ""advantages"""
1,'just,33," ""advantages"""
1,remember,34," ""advantages"""
1,that,35," ""advantages"""
1,all,36," ""advantages"""
1,the,37," ""advantages"""
1,people,38," ""advantages"""
1,in,39," ""advantages"""
1,this,40," ""advantages"""
1,world,41," ""advantages"""
1,haven't,42," ""advantages"""
1,had,43," ""advantages"""
1,the,44," ""advantages"""
1,advantages,45," ""advantages"""
1,that,46," ""advantages"""
1,you've,47," ""advantages"""
1,had.,48," ""advantages"""
2,Neighbours,0," ""Boo"""
2,bring,1," ""Boo"""
2,food,2," ""Boo"""
2,with,3," ""Boo"""
2,death,4," ""Boo"""
2,and,5," ""Boo"""
2,flowers,6," ""Boo"""
2,with,7," ""Boo"""
2,sickness,8," ""Boo"""
2,and,9," ""Boo"""
2,little,10," ""Boo"""
2,things,11," ""Boo"""
2,in,12," ""Boo"""
2,between.,13," ""Boo"""
2,Boo,14," ""Boo"""
2,was,15," ""Boo"""
2,our,16," ""Boo"""
2,neighbour.,17," ""Boo"""
2,He,18," ""Boo"""
2,gave,19," ""Boo"""
2,us,20," ""Boo"""
2,two,21," ""Boo"""
2,soap,22," ""Boo"""
2,"dolls,",23," ""Boo"""
2,a,24," ""Boo"""
2,broken,25," ""Boo"""
2,watch,26," ""Boo"""
2,and,27," ""Boo"""
2,"chain,",28," ""Boo"""
2,a,29," ""Boo"""
2,pair,30," ""Boo"""
2,of,31," ""Boo"""
2,good,32," ""Boo"""
2,luck,33," ""Boo"""
2,"pennies,",34," ""Boo"""
2,and,35," ""Boo"""
