experiment,experiment_id,condition,condition_id,item_id,text,question,response_true,response_distractors,word_nr
provo,2,real,1,1,There,Will the new phone include a microphone?,No,Yes,0
provo,2,real,1,1,are,Will the new phone include a microphone?,No,Yes,1
provo,2,real,1,1,now,Will the new phone include a microphone?,No,Yes,2
provo,2,real,1,1,rumblings,Will the new phone include a microphone?,No,Yes,3
provo,2,real,1,1,that,Will the new phone include a microphone?,No,Yes,4
provo,2,real,1,1,Apple,Will the new phone include a microphone?,No,Yes,5
provo,2,real,1,1,might,Will the new phone include a microphone?,No,Yes,6
provo,2,real,1,1,soon,Will the new phone include a microphone?,No,Yes,7
provo,2,real,1,1,invade,Will the new phone include a microphone?,No,Yes,8
provo,2,real,1,1,the,Will the new phone include a microphone?,No,Yes,9
provo,2,real,1,1,smart,Will the new phone include a microphone?,No,Yes,10
provo,2,real,1,1,watch,Will the new phone include a microphone?,No,Yes,11
provo,2,real,1,1,"space,",Will the new phone include a microphone?,No,Yes,12
provo,2,real,1,1,though,Will the new phone include a microphone?,No,Yes,13
provo,2,real,1,1,the,Will the new phone include a microphone?,No,Yes,14
provo,2,real,1,1,company,Will the new phone include a microphone?,No,Yes,15
provo,2,real,1,1,is,Will the new phone include a microphone?,No,Yes,16
provo,2,real,1,1,maintaining,Will the new phone include a microphone?,No,Yes,17
provo,2,real,1,1,its,Will the new phone include a microphone?,No,Yes,18
provo,2,real,1,1,customary,Will the new phone include a microphone?,No,Yes,19
provo,2,real,1,1,silence.,Will the new phone include a microphone?,No,Yes,20
provo,2,real,1,1,The,Will the new phone include a microphone?,No,Yes,21
provo,2,real,1,1,watch,Will the new phone include a microphone?,No,Yes,22
provo,2,real,1,1,doesn't,Will the new phone include a microphone?,No,Yes,23
provo,2,real,1,1,have,Will the new phone include a microphone?,No,Yes,24
provo,2,real,1,1,a,Will the new phone include a microphone?,No,Yes,25
provo,2,real,1,1,microphone,Will the new phone include a microphone?,No,Yes,26
provo,2,real,1,1,or,Will the new phone include a microphone?,No,Yes,27
provo,2,real,1,1,"speaker,",Will the new phone include a microphone?,No,Yes,28
provo,2,real,1,1,but,Will the new phone include a microphone?,No,Yes,29
provo,2,real,1,1,you,Will the new phone include a microphone?,No,Yes,30
provo,2,real,1,1,can,Will the new phone include a microphone?,No,Yes,31
provo,2,real,1,1,use,Will the new phone include a microphone?,No,Yes,32
provo,2,real,1,1,it,Will the new phone include a microphone?,No,Yes,33
provo,2,real,1,1,to,Will the new phone include a microphone?,No,Yes,34
provo,2,real,1,1,control,Will the new phone include a microphone?,No,Yes,35
provo,2,real,1,1,the,Will the new phone include a microphone?,No,Yes,36
provo,2,real,1,1,music,Will the new phone include a microphone?,No,Yes,37
provo,2,real,1,1,on,Will the new phone include a microphone?,No,Yes,38
provo,2,real,1,1,your,Will the new phone include a microphone?,No,Yes,39
provo,2,real,1,1,phone.,Will the new phone include a microphone?,No,Yes,40
provo,2,real,1,1,You,Will the new phone include a microphone?,No,Yes,41
provo,2,real,1,1,can,Will the new phone include a microphone?,No,Yes,42
provo,2,real,1,1,glance,Will the new phone include a microphone?,No,Yes,43
provo,2,real,1,1,at,Will the new phone include a microphone?,No,Yes,44
provo,2,real,1,1,the,Will the new phone include a microphone?,No,Yes,45
provo,2,real,1,1,watch,Will the new phone include a microphone?,No,Yes,46
provo,2,real,1,1,face,Will the new phone include a microphone?,No,Yes,47
provo,2,real,1,1,to,Will the new phone include a microphone?,No,Yes,48
provo,2,real,1,1,view,Will the new phone include a microphone?,No,Yes,49
provo,2,real,1,1,the,Will the new phone include a microphone?,No,Yes,50
provo,2,real,1,1,artist,Will the new phone include a microphone?,No,Yes,51
provo,2,real,1,1,and,Will the new phone include a microphone?,No,Yes,52
provo,2,real,1,1,title,Will the new phone include a microphone?,No,Yes,53
provo,2,real,1,1,of,Will the new phone include a microphone?,No,Yes,54
provo,2,real,1,1,a,Will the new phone include a microphone?,No,Yes,55
provo,2,real,1,1,song.,Will the new phone include a microphone?,No,Yes,56
provo,2,real,1,2,Two,Did Richard Carrington observe moon spots?,No,Yes,0
provo,2,real,1,2,days,Did Richard Carrington observe moon spots?,No,Yes,1
provo,2,real,1,2,"later,",Did Richard Carrington observe moon spots?,No,Yes,2
provo,2,real,1,2,the,Did Richard Carrington observe moon spots?,No,Yes,3
provo,2,real,1,2,British,Did Richard Carrington observe moon spots?,No,Yes,4
provo,2,real,1,2,astronomer,Did Richard Carrington observe moon spots?,No,Yes,5
provo,2,real,1,2,Richard,Did Richard Carrington observe moon spots?,No,Yes,6
provo,2,real,1,2,Carrington,Did Richard Carrington observe moon spots?,No,Yes,7
provo,2,real,1,2,was,Did Richard Carrington observe moon spots?,No,Yes,8
provo,2,real,1,2,observing,Did Richard Carrington observe moon spots?,No,Yes,9
provo,2,real,1,2,the,Did Richard Carrington observe moon spots?,No,Yes,10
provo,2,real,1,2,interesting,Did Richard Carrington observe moon spots?,No,Yes,11
provo,2,real,1,2,sunspot,Did Richard Carrington observe moon spots?,No,Yes,12
provo,2,real,1,2,group,Did Richard Carrington observe moon spots?,No,Yes,13
provo,2,real,1,2,through,Did Richard Carrington observe moon spots?,No,Yes,14
provo,2,real,1,2,his,Did Richard Carrington observe moon spots?,No,Yes,15
provo,2,real,1,2,telescope,Did Richard Carrington observe moon spots?,No,Yes,16
provo,2,real,1,2,when,Did Richard Carrington observe moon spots?,No,Yes,17
provo,2,real,1,2,he,Did Richard Carrington observe moon spots?,No,Yes,18
provo,2,real,1,2,saw,Did Richard Carrington observe moon spots?,No,Yes,19
provo,2,real,1,2,what,Did Richard Carrington observe moon spots?,No,Yes,20
provo,2,real,1,2,he,Did Richard Carrington observe moon spots?,No,Yes,21
provo,2,real,1,2,described,Did Richard Carrington observe moon spots?,No,Yes,22
provo,2,real,1,2,as,Did Richard Carrington observe moon spots?,No,Yes,23
provo,2,real,1,2,"""two",Did Richard Carrington observe moon spots?,No,Yes,24
provo,2,real,1,2,patches,Did Richard Carrington observe moon spots?,No,Yes,25
provo,2,real,1,2,of,Did Richard Carrington observe moon spots?,No,Yes,26
provo,2,real,1,2,intensely,Did Richard Carrington observe moon spots?,No,Yes,27
provo,2,real,1,2,bright,Did Richard Carrington observe moon spots?,No,Yes,28
provo,2,real,1,2,and,Did Richard Carrington observe moon spots?,No,Yes,29
provo,2,real,1,2,white,Did Richard Carrington observe moon spots?,No,Yes,30
provo,2,real,1,2,"light""",Did Richard Carrington observe moon spots?,No,Yes,31
provo,2,real,1,2,over,Did Richard Carrington observe moon spots?,No,Yes,32
provo,2,real,1,2,the,Did Richard Carrington observe moon spots?,No,Yes,33
provo,2,real,1,2,sunspots.,Did Richard Carrington observe moon spots?,No,Yes,34
provo,2,real,1,2,He,Did Richard Carrington observe moon spots?,No,Yes,35
provo,2,real,1,2,jotted,Did Richard Carrington observe moon spots?,No,Yes,36
provo,2,real,1,2,a,Did Richard Carrington observe moon spots?,No,Yes,37
provo,2,real,1,2,note,Did Richard Carrington observe moon spots?,No,Yes,38
provo,2,real,1,2,in,Did Richard Carrington observe moon spots?,No,Yes,39
provo,2,real,1,2,his,Did Richard Carrington observe moon spots?,No,Yes,40
provo,2,real,1,2,painstaking,Did Richard Carrington observe moon spots?,No,Yes,41
provo,2,real,1,2,record.,Did Richard Carrington observe moon spots?,No,Yes,42
provo,2,real,1,2,That,Did Richard Carrington observe moon spots?,No,Yes,43
provo,2,real,1,2,night,Did Richard Carrington observe moon spots?,No,Yes,44
provo,2,real,1,2,there,Did Richard Carrington observe moon spots?,No,Yes,45
provo,2,real,1,2,was,Did Richard Carrington observe moon spots?,No,Yes,46
provo,2,real,1,2,scarcely,Did Richard Carrington observe moon spots?,No,Yes,47
provo,2,real,1,2,a,Did Richard Carrington observe moon spots?,No,Yes,48
provo,2,real,1,2,square,Did Richard Carrington observe moon spots?,No,Yes,49
provo,2,real,1,2,inch,Did Richard Carrington observe moon spots?,No,Yes,50
provo,2,real,1,2,of,Did Richard Carrington observe moon spots?,No,Yes,51
provo,2,real,1,2,earth,Did Richard Carrington observe moon spots?,No,Yes,52
provo,2,real,1,2,that,Did Richard Carrington observe moon spots?,No,Yes,53
provo,2,real,1,2,was,Did Richard Carrington observe moon spots?,No,Yes,54
provo,2,real,1,2,not,Did Richard Carrington observe moon spots?,No,Yes,55
provo,2,real,1,2,illuminated,Did Richard Carrington observe moon spots?,No,Yes,56
provo,2,real,1,2,by,Did Richard Carrington observe moon spots?,No,Yes,57
provo,2,real,1,2,aurora.,Did Richard Carrington observe moon spots?,No,Yes,58
provo,2,real,1,3,I,Did the “three strikes law” clearly reduce crime?,No,Yes,0
provo,2,real,1,3,agree,Did the “three strikes law” clearly reduce crime?,No,Yes,1
provo,2,real,1,3,that,Did the “three strikes law” clearly reduce crime?,No,Yes,2
provo,2,real,1,3,California's,Did the “three strikes law” clearly reduce crime?,No,Yes,3
provo,2,real,1,3,"""three",Did the “three strikes law” clearly reduce crime?,No,Yes,4
provo,2,real,1,3,strikes,Did the “three strikes law” clearly reduce crime?,No,Yes,5
provo,2,real,1,3,and,Did the “three strikes law” clearly reduce crime?,No,Yes,6
provo,2,real,1,3,you're,Did the “three strikes law” clearly reduce crime?,No,Yes,7
provo,2,real,1,3,"out""",Did the “three strikes law” clearly reduce crime?,No,Yes,8
provo,2,real,1,3,law,Did the “three strikes law” clearly reduce crime?,No,Yes,9
provo,2,real,1,3,will,Did the “three strikes law” clearly reduce crime?,No,Yes,10
provo,2,real,1,3,be,Did the “three strikes law” clearly reduce crime?,No,Yes,11
provo,2,real,1,3,a,Did the “three strikes law” clearly reduce crime?,No,Yes,12
provo,2,real,1,3,financial,Did the “three strikes law” clearly reduce crime?,No,Yes,13
provo,2,real,1,3,disaster,Did the “three strikes law” clearly reduce crime?,No,Yes,14
provo,2,real,1,3,for,Did the “three strikes law” clearly reduce crime?,No,Yes,15
provo,2,real,1,3,taxpayers,Did the “three strikes law” clearly reduce crime?,No,Yes,16
provo,2,real,1,3,who,Did the “three strikes law” clearly reduce crime?,No,Yes,17
provo,2,real,1,3,care,Did the “three strikes law” clearly reduce crime?,No,Yes,18
provo,2,real,1,3,about,Did the “three strikes law” clearly reduce crime?,No,Yes,19
provo,2,real,1,3,education,Did the “three strikes law” clearly reduce crime?,No,Yes,20
provo,2,real,1,3,and,Did the “three strikes law” clearly reduce crime?,No,Yes,21
provo,2,real,1,3,other,Did the “three strikes law” clearly reduce crime?,No,Yes,22
provo,2,real,1,3,vital,Did the “three strikes law” clearly reduce crime?,No,Yes,23
provo,2,real,1,3,services.,Did the “three strikes law” clearly reduce crime?,No,Yes,24
provo,2,real,1,3,But,Did the “three strikes law” clearly reduce crime?,No,Yes,25
provo,2,real,1,3,it's,Did the “three strikes law” clearly reduce crime?,No,Yes,26
provo,2,real,1,3,far,Did the “three strikes law” clearly reduce crime?,No,Yes,27
provo,2,real,1,3,from,Did the “three strikes law” clearly reduce crime?,No,Yes,28
provo,2,real,1,3,clear,Did the “three strikes law” clearly reduce crime?,No,Yes,29
provo,2,real,1,3,that,Did the “three strikes law” clearly reduce crime?,No,Yes,30
provo,2,real,1,3,the,Did the “three strikes law” clearly reduce crime?,No,Yes,31
provo,2,real,1,3,law,Did the “three strikes law” clearly reduce crime?,No,Yes,32
provo,2,real,1,3,can,Did the “three strikes law” clearly reduce crime?,No,Yes,33
provo,2,real,1,3,even,Did the “three strikes law” clearly reduce crime?,No,Yes,34
provo,2,real,1,3,be,Did the “three strikes law” clearly reduce crime?,No,Yes,35
provo,2,real,1,3,credited,Did the “three strikes law” clearly reduce crime?,No,Yes,36
provo,2,real,1,3,with,Did the “three strikes law” clearly reduce crime?,No,Yes,37
provo,2,real,1,3,a,Did the “three strikes law” clearly reduce crime?,No,Yes,38
provo,2,real,1,3,reduction,Did the “three strikes law” clearly reduce crime?,No,Yes,39
provo,2,real,1,3,in,Did the “three strikes law” clearly reduce crime?,No,Yes,40
provo,2,real,1,3,crime,Did the “three strikes law” clearly reduce crime?,No,Yes,41
provo,2,real,1,3,in,Did the “three strikes law” clearly reduce crime?,No,Yes,42
provo,2,real,1,3,California.,Did the “three strikes law” clearly reduce crime?,No,Yes,43
provo,2,real,1,3,While,Did the “three strikes law” clearly reduce crime?,No,Yes,44
provo,2,real,1,3,it's,Did the “three strikes law” clearly reduce crime?,No,Yes,45
provo,2,real,1,3,true,Did the “three strikes law” clearly reduce crime?,No,Yes,46
provo,2,real,1,3,that,Did the “three strikes law” clearly reduce crime?,No,Yes,47
provo,2,real,1,3,crime,Did the “three strikes law” clearly reduce crime?,No,Yes,48
provo,2,real,1,3,declined,Did the “three strikes law” clearly reduce crime?,No,Yes,49
provo,2,real,1,3,in,Did the “three strikes law” clearly reduce crime?,No,Yes,50
provo,2,real,1,3,California,Did the “three strikes law” clearly reduce crime?,No,Yes,51
provo,2,real,1,3,last,Did the “three strikes law” clearly reduce crime?,No,Yes,52
provo,2,real,1,3,"year,",Did the “three strikes law” clearly reduce crime?,No,Yes,53
provo,2,real,1,3,crime,Did the “three strikes law” clearly reduce crime?,No,Yes,54
provo,2,real,1,3,also,Did the “three strikes law” clearly reduce crime?,No,Yes,55
provo,2,real,1,3,dropped,Did the “three strikes law” clearly reduce crime?,No,Yes,56
provo,2,real,1,3,nationwide.,Did the “three strikes law” clearly reduce crime?,No,Yes,57
provo,2,real,1,4,Liza,Was Liza in a bad temper? ,No,Yes,0
provo,2,real,1,4,was,Was Liza in a bad temper? ,No,Yes,1
provo,2,real,1,4,in,Was Liza in a bad temper? ,No,Yes,2
provo,2,real,1,4,a,Was Liza in a bad temper? ,No,Yes,3
provo,2,real,1,4,bad,Was Liza in a bad temper? ,No,Yes,4
provo,2,real,1,4,"temper,",Was Liza in a bad temper? ,No,Yes,5
provo,2,real,1,4,for,Was Liza in a bad temper? ,No,Yes,6
provo,2,real,1,4,she,Was Liza in a bad temper? ,No,Yes,7
provo,2,real,1,4,was,Was Liza in a bad temper? ,No,Yes,8
provo,2,real,1,4,mixing,Was Liza in a bad temper? ,No,Yes,9
provo,2,real,1,4,the,Was Liza in a bad temper? ,No,Yes,10
provo,2,real,1,4,Christmas,Was Liza in a bad temper? ,No,Yes,11
provo,2,real,1,4,puddings,Was Liza in a bad temper? ,No,Yes,12
provo,2,real,1,4,in,Was Liza in a bad temper? ,No,Yes,13
provo,2,real,1,4,the,Was Liza in a bad temper? ,No,Yes,14
provo,2,real,1,4,"kitchen,",Was Liza in a bad temper? ,No,Yes,15
provo,2,real,1,4,and,Was Liza in a bad temper? ,No,Yes,16
provo,2,real,1,4,had,Was Liza in a bad temper? ,No,Yes,17
provo,2,real,1,4,been,Was Liza in a bad temper? ,No,Yes,18
provo,2,real,1,4,drawn,Was Liza in a bad temper? ,No,Yes,19
provo,2,real,1,4,from,Was Liza in a bad temper? ,No,Yes,20
provo,2,real,1,4,"them,",Was Liza in a bad temper? ,No,Yes,21
provo,2,real,1,4,with,Was Liza in a bad temper? ,No,Yes,22
provo,2,real,1,4,a,Was Liza in a bad temper? ,No,Yes,23
provo,2,real,1,4,raisin,Was Liza in a bad temper? ,No,Yes,24
provo,2,real,1,4,still,Was Liza in a bad temper? ,No,Yes,25
provo,2,real,1,4,on,Was Liza in a bad temper? ,No,Yes,26
provo,2,real,1,4,her,Was Liza in a bad temper? ,No,Yes,27
provo,2,real,1,4,"cheek,",Was Liza in a bad temper? ,No,Yes,28
provo,2,real,1,4,by,Was Liza in a bad temper? ,No,Yes,29
provo,2,real,1,4,Nana's,Was Liza in a bad temper? ,No,Yes,30
provo,2,real,1,4,absurd,Was Liza in a bad temper? ,No,Yes,31
provo,2,real,1,4,suspicions.,Was Liza in a bad temper? ,No,Yes,32
provo,2,real,1,4,She,Was Liza in a bad temper? ,No,Yes,33
provo,2,real,1,4,thought,Was Liza in a bad temper? ,No,Yes,34
provo,2,real,1,4,the,Was Liza in a bad temper? ,No,Yes,35
provo,2,real,1,4,best,Was Liza in a bad temper? ,No,Yes,36
provo,2,real,1,4,way,Was Liza in a bad temper? ,No,Yes,37
provo,2,real,1,4,of,Was Liza in a bad temper? ,No,Yes,38
provo,2,real,1,4,getting,Was Liza in a bad temper? ,No,Yes,39
provo,2,real,1,4,a,Was Liza in a bad temper? ,No,Yes,40
provo,2,real,1,4,little,Was Liza in a bad temper? ,No,Yes,41
provo,2,real,1,4,quiet,Was Liza in a bad temper? ,No,Yes,42
provo,2,real,1,4,was,Was Liza in a bad temper? ,No,Yes,43
provo,2,real,1,4,to,Was Liza in a bad temper? ,No,Yes,44
provo,2,real,1,4,take,Was Liza in a bad temper? ,No,Yes,45
provo,2,real,1,4,Nana,Was Liza in a bad temper? ,No,Yes,46
provo,2,real,1,4,to,Was Liza in a bad temper? ,No,Yes,47
provo,2,real,1,4,the,Was Liza in a bad temper? ,No,Yes,48
provo,2,real,1,4,nursery,Was Liza in a bad temper? ,No,Yes,49
provo,2,real,1,4,for,Was Liza in a bad temper? ,No,Yes,50
provo,2,real,1,4,a,Was Liza in a bad temper? ,No,Yes,51
provo,2,real,1,4,"moment,",Was Liza in a bad temper? ,No,Yes,52
provo,2,real,1,4,but,Was Liza in a bad temper? ,No,Yes,53
provo,2,real,1,4,in,Was Liza in a bad temper? ,No,Yes,54
provo,2,real,1,4,custody,Was Liza in a bad temper? ,No,Yes,55
provo,2,real,1,4,of,Was Liza in a bad temper? ,No,Yes,56
provo,2,real,1,4,course.,Was Liza in a bad temper? ,No,Yes,57
provo,2,real,1,5,Mrs.,Did Mrs. Darling notice the stars outside her window?,Yes,No,0
provo,2,real,1,5,Darling,Did Mrs. Darling notice the stars outside her window?,Yes,No,1
provo,2,real,1,5,quivered,Did Mrs. Darling notice the stars outside her window?,Yes,No,2
provo,2,real,1,5,and,Did Mrs. Darling notice the stars outside her window?,Yes,No,3
provo,2,real,1,5,went,Did Mrs. Darling notice the stars outside her window?,Yes,No,4
provo,2,real,1,5,to,Did Mrs. Darling notice the stars outside her window?,Yes,No,5
provo,2,real,1,5,the,Did Mrs. Darling notice the stars outside her window?,Yes,No,6
provo,2,real,1,5,window.,Did Mrs. Darling notice the stars outside her window?,Yes,No,7
provo,2,real,1,5,It,Did Mrs. Darling notice the stars outside her window?,Yes,No,8
provo,2,real,1,5,was,Did Mrs. Darling notice the stars outside her window?,Yes,No,9
provo,2,real,1,5,securely,Did Mrs. Darling notice the stars outside her window?,Yes,No,10
provo,2,real,1,5,fastened.,Did Mrs. Darling notice the stars outside her window?,Yes,No,11
provo,2,real,1,5,She,Did Mrs. Darling notice the stars outside her window?,Yes,No,12
provo,2,real,1,5,looked,Did Mrs. Darling notice the stars outside her window?,Yes,No,13
provo,2,real,1,5,"out,",Did Mrs. Darling notice the stars outside her window?,Yes,No,14
provo,2,real,1,5,and,Did Mrs. Darling notice the stars outside her window?,Yes,No,15
provo,2,real,1,5,the,Did Mrs. Darling notice the stars outside her window?,Yes,No,16
provo,2,real,1,5,night,Did Mrs. Darling notice the stars outside her window?,Yes,No,17
provo,2,real,1,5,was,Did Mrs. Darling notice the stars outside her window?,Yes,No,18
provo,2,real,1,5,peppered,Did Mrs. Darling notice the stars outside her window?,Yes,No,19
provo,2,real,1,5,with,Did Mrs. Darling notice the stars outside her window?,Yes,No,20
provo,2,real,1,5,stars.,Did Mrs. Darling notice the stars outside her window?,Yes,No,21
provo,2,real,1,5,They,Did Mrs. Darling notice the stars outside her window?,Yes,No,22
provo,2,real,1,5,were,Did Mrs. Darling notice the stars outside her window?,Yes,No,23
provo,2,real,1,5,crowding,Did Mrs. Darling notice the stars outside her window?,Yes,No,24
provo,2,real,1,5,round,Did Mrs. Darling notice the stars outside her window?,Yes,No,25
provo,2,real,1,5,the,Did Mrs. Darling notice the stars outside her window?,Yes,No,26
provo,2,real,1,5,"house,",Did Mrs. Darling notice the stars outside her window?,Yes,No,27
provo,2,real,1,5,as,Did Mrs. Darling notice the stars outside her window?,Yes,No,28
provo,2,real,1,5,if,Did Mrs. Darling notice the stars outside her window?,Yes,No,29
provo,2,real,1,5,curious,Did Mrs. Darling notice the stars outside her window?,Yes,No,30
provo,2,real,1,5,to,Did Mrs. Darling notice the stars outside her window?,Yes,No,31
provo,2,real,1,5,see,Did Mrs. Darling notice the stars outside her window?,Yes,No,32
provo,2,real,1,5,what,Did Mrs. Darling notice the stars outside her window?,Yes,No,33
provo,2,real,1,5,was,Did Mrs. Darling notice the stars outside her window?,Yes,No,34
provo,2,real,1,5,to,Did Mrs. Darling notice the stars outside her window?,Yes,No,35
provo,2,real,1,5,take,Did Mrs. Darling notice the stars outside her window?,Yes,No,36
provo,2,real,1,5,place,Did Mrs. Darling notice the stars outside her window?,Yes,No,37
provo,2,real,1,5,"there,",Did Mrs. Darling notice the stars outside her window?,Yes,No,38
provo,2,real,1,5,but,Did Mrs. Darling notice the stars outside her window?,Yes,No,39
provo,2,real,1,5,she,Did Mrs. Darling notice the stars outside her window?,Yes,No,40
provo,2,real,1,5,did,Did Mrs. Darling notice the stars outside her window?,Yes,No,41
provo,2,real,1,5,not,Did Mrs. Darling notice the stars outside her window?,Yes,No,42
provo,2,real,1,5,notice,Did Mrs. Darling notice the stars outside her window?,Yes,No,43
provo,2,real,1,5,"this,",Did Mrs. Darling notice the stars outside her window?,Yes,No,44
provo,2,real,1,5,nor,Did Mrs. Darling notice the stars outside her window?,Yes,No,45
provo,2,real,1,5,that,Did Mrs. Darling notice the stars outside her window?,Yes,No,46
provo,2,real,1,5,one,Did Mrs. Darling notice the stars outside her window?,Yes,No,47
provo,2,real,1,5,or,Did Mrs. Darling notice the stars outside her window?,Yes,No,48
provo,2,real,1,5,two,Did Mrs. Darling notice the stars outside her window?,Yes,No,49
provo,2,real,1,5,of,Did Mrs. Darling notice the stars outside her window?,Yes,No,50
