expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_pass_time,FPFix,FPReg
1,1,1,The,0,No,No,1.0,428.0,428.0,428.0,428.0,428.0,428.0,1.0,0.0
1,1,1,witness,1,No,No,1.0,372.0,372.0,372.0,372.0,372.0,372.0,1.0,0.0
1,1,1,identified,2,No,No,1.0,480.0,480.0,480.0,480.0,480.0,480.0,1.0,0.0
1,1,1,the,3,No,No,1.0,571.0,571.0,571.0,571.0,571.0,571.0,1.0,0.0
1,1,1,man,4,No,No,1.0,177.0,177.0,177.0,177.0,177.0,177.0,1.0,0.0
1,1,1,and,5,No,No,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,1,1,his,6,No,No,1.0,251.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
1,1,1,wife,7,No,No,1.0,475.0,475.0,475.0,475.0,475.0,475.0,1.0,0.0
1,1,1,ran,8,No,No,1.0,348.0,348.0,348.0,348.0,348.0,348.0,1.0,0.0
1,1,1,away,9,No,No,1.0,449.0,449.0,449.0,449.0,449.0,449.0,1.0,0.0
1,1,1,from,10,No,No,1.0,251.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
1,1,1,the,11,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,police,12,No,No,1.0,278.0,278.0,278.0,278.0,278.0,278.0,1.0,0.0
1,1,1,station.,13,No,No,1.0,700.0,700.0,700.0,700.0,700.0,700.0,1.0,0.0
1,1,2,Jenny,0,No,No,1.0,476.0,476.0,476.0,476.0,476.0,476.0,1.0,0.0
1,1,2,talked,1,No,No,1.0,180.0,180.0,180.0,180.0,180.0,180.0,1.0,0.0
1,1,2,to,2,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,the,3,No,No,1.0,324.0,324.0,324.0,324.0,324.0,324.0,1.0,0.0
1,1,2,reporter,4,No,No,1.0,556.0,556.0,556.0,556.0,556.0,556.0,1.0,0.0
1,1,2,and,5,No,No,1.0,601.0,601.0,601.0,601.0,601.0,601.0,1.0,0.0
1,1,2,the,6,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,photographer,7,No,No,1.0,693.0,693.0,693.0,693.0,693.0,693.0,1.0,0.0
1,1,2,took,8,No,No,1.0,352.0,352.0,352.0,352.0,352.0,352.0,1.0,0.0
1,1,2,pictures,9,No,No,1.0,526.0,526.0,526.0,526.0,526.0,526.0,1.0,0.0
1,1,2,of,10,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,the,11,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,scene.,12,No,No,1.0,400.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0
1,1,3,The,0,Yes,Yes,1.0,722.0,722.0,722.0,722.0,722.0,722.0,1.0,0.0
1,1,3,robber,1,Yes,Yes,1.0,176.0,425.0,176.0,176.0,176.0,176.0,1.0,0.0
1,1,3,shot,2,Yes,Yes,1.0,551.0,800.0,551.0,551.0,551.0,551.0,1.0,0.0
1,1,3,the,3,Yes,Yes,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,1,3,jeweler,4,Yes,Yes,1.0,450.0,871.0,450.0,450.0,450.0,450.0,1.0,0.0
1,1,3,and,5,Yes,Yes,1.0,473.0,473.0,473.0,473.0,473.0,473.0,1.0,0.0
1,1,3,the,6,Yes,Yes,1.0,500.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0
1,1,3,salesman,7,Yes,Yes,1.0,649.0,1099.0,649.0,649.0,649.0,649.0,1.0,0.0
1,1,3,reported,8,Yes,Yes,1.0,249.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0
1,1,3,the,9,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,crime,10,Yes,Yes,1.0,450.0,450.0,450.0,450.0,450.0,450.0,1.0,0.0
1,1,3,to,11,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,the,12,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,police.,13,Yes,Yes,1.0,341.0,341.0,341.0,341.0,341.0,1710.0,1.0,1.0
1,1,4,The,0,Yes,Yes,1.0,474.0,474.0,474.0,474.0,0.0,474.0,1.0,0.0
1,1,4,journalist,1,Yes,Yes,1.0,249.0,249.0,249.0,249.0,0.0,249.0,1.0,0.0
1,1,4,criticized,2,Yes,Yes,1.0,476.0,476.0,476.0,476.0,0.0,476.0,1.0,0.0
1,1,4,Nick,3,Yes,Yes,1.0,201.0,201.0,201.0,201.0,0.0,201.0,1.0,0.0
1,1,4,and,4,Yes,Yes,1.0,525.0,525.0,525.0,525.0,0.0,525.0,1.0,0.0
1,1,4,Sam,5,Yes,Yes,1.0,221.0,221.0,221.0,221.0,0.0,221.0,1.0,0.0
1,1,4,called,6,Yes,Yes,1.0,200.0,200.0,200.0,200.0,0.0,200.0,1.0,0.0
1,1,4,the,7,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,newspaper,8,Yes,Yes,1.0,725.0,725.0,725.0,725.0,0.0,725.0,1.0,0.0
1,1,4,to,9,Yes,Yes,1.0,174.0,174.0,174.0,174.0,0.0,174.0,1.0,0.0
1,1,4,complain.,10,Yes,Yes,1.0,600.0,600.0,600.0,600.0,0.0,600.0,1.0,0.0
1,1,5,Sam,0,Yes,Yes,1.0,671.0,671.0,671.0,671.0,671.0,671.0,1.0,0.0
1,1,5,hired,1,Yes,Yes,1.0,253.0,871.0,253.0,253.0,253.0,253.0,1.0,0.0
1,1,5,the,2,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,plumber,3,Yes,Yes,1.0,330.0,602.0,330.0,330.0,330.0,330.0,1.0,0.0
1,1,5,and,4,Yes,Yes,1.0,520.0,520.0,520.0,520.0,520.0,520.0,1.0,0.0
1,1,5,the,5,Yes,Yes,1.0,400.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0
1,1,5,carpenter,6,Yes,Yes,1.0,353.0,353.0,353.0,353.0,353.0,353.0,1.0,0.0
1,1,5,ordered,7,Yes,Yes,1.0,597.0,597.0,597.0,597.0,597.0,597.0,1.0,0.0
1,1,5,the,8,Yes,Yes,1.0,229.0,229.0,229.0,229.0,229.0,229.0,1.0,0.0
1,1,5,materials,9,Yes,Yes,1.0,672.0,672.0,672.0,672.0,672.0,672.0,1.0,0.0
1,1,5,for,10,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,the,11,Yes,Yes,1.0,179.0,179.0,179.0,179.0,179.0,179.0,1.0,0.0
1,1,5,house.,12,Yes,Yes,1.0,422.0,422.0,422.0,422.0,422.0,1312.0,1.0,1.0
1,1,6,The,0,Yes,Yes,1.0,455.0,455.0,455.0,455.0,455.0,455.0,1.0,0.0
1,1,6,police,1,Yes,Yes,1.0,395.0,395.0,395.0,395.0,395.0,395.0,1.0,0.0
1,1,6,arrested,2,Yes,Yes,1.0,728.0,728.0,728.0,728.0,728.0,728.0,1.0,0.0
1,1,6,the,3,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,burglar,4,Yes,Yes,1.0,423.0,423.0,423.0,423.0,423.0,423.0,1.0,0.0
1,1,6,and,5,Yes,Yes,1.0,778.0,778.0,778.0,778.0,778.0,778.0,1.0,0.0
1,1,6,his,6,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,brother,7,Yes,Yes,1.0,343.0,343.0,343.0,343.0,343.0,343.0,1.0,0.0
1,1,6,phoned,8,Yes,Yes,1.0,678.0,678.0,678.0,678.0,678.0,678.0,1.0,0.0
1,1,6,a,9,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,lawyer,10,Yes,Yes,1.0,222.0,222.0,222.0,222.0,222.0,222.0,1.0,0.0
1,1,6,for,11,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,help.,12,Yes,Yes,1.0,649.0,649.0,649.0,649.0,649.0,649.0,1.0,0.0
1,1,7,The,0,No,No,1.0,323.0,323.0,323.0,323.0,323.0,323.0,1.0,0.0
1,1,7,knight,1,No,No,1.0,352.0,352.0,352.0,352.0,352.0,352.0,1.0,0.0
1,1,7,greeted,2,No,No,1.0,648.0,648.0,648.0,648.0,648.0,648.0,1.0,0.0
1,1,7,the,3,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,king,4,No,No,1.0,248.0,248.0,248.0,248.0,248.0,248.0,1.0,0.0
1,1,7,and,5,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,the,6,No,No,1.0,600.0,600.0,600.0,600.0,600.0,600.0,1.0,0.0
1,1,7,queen,7,No,No,1.0,175.0,175.0,175.0,175.0,175.0,175.0,1.0,0.0
1,1,7,waved,8,No,No,1.0,227.0,227.0,227.0,227.0,227.0,227.0,1.0,0.0
1,1,7,to,9,No,No,1.0,595.0,595.0,595.0,595.0,595.0,595.0,1.0,0.0
1,1,7,her,10,No,No,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,1,7,people,11,No,No,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,1,7,at,12,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,the,13,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,feast.,14,No,No,1.0,449.0,449.0,449.0,449.0,449.0,449.0,1.0,0.0
1,1,8,The,0,Yes,Yes,1.0,471.0,471.0,471.0,471.0,471.0,471.0,1.0,0.0
1,1,8,customer,1,Yes,Yes,1.0,400.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0
1,1,8,complained,2,Yes,Yes,1.0,802.0,802.0,802.0,802.0,802.0,802.0,1.0,0.0
1,1,8,about,3,Yes,Yes,1.0,248.0,248.0,248.0,248.0,248.0,248.0,1.0,0.0
1,1,8,the,4,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,waiter,5,Yes,Yes,1.0,800.0,800.0,800.0,800.0,800.0,800.0,1.0,0.0
1,1,8,and,6,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,the,7,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,chef,8,Yes,Yes,1.0,480.0,480.0,480.0,480.0,480.0,480.0,1.0,0.0
1,1,8,gave,9,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,him,10,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,a,11,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,free,12,Yes,Yes,1.0,226.0,226.0,226.0,226.0,226.0,226.0,1.0,0.0
1,1,8,dessert.,13,Yes,Yes,1.0,703.0,703.0,703.0,703.0,703.0,703.0,1.0,0.0
1,2,9,The,0,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9,crowd,1,Yes,Yes,1.0,250.0,521.0,250.0,250.0,250.0,250.0,1.0,0.0
1,2,9,cheered,2,Yes,Yes,1.0,641.0,1071.0,641.0,641.0,641.0,641.0,1.0,0.0
1,2,9,for,3,Yes,Yes,1.0,229.0,229.0,229.0,229.0,229.0,229.0,1.0,0.0
1,2,9,the,4,Yes,Yes,1.0,224.0,224.0,224.0,224.0,224.0,224.0,1.0,0.0
1,2,9,"model,",5,Yes,Yes,1.0,651.0,1521.0,651.0,651.0,651.0,651.0,1.0,0.0
1,2,9,and,6,Yes,Yes,1.0,499.0,499.0,499.0,499.0,499.0,499.0,1.0,0.0
1,2,9,the,7,Yes,Yes,1.0,197.0,197.0,197.0,197.0,197.0,197.0,1.0,0.0
1,2,9,designer,8,Yes,Yes,1.0,802.0,1554.0,802.0,802.0,802.0,802.0,1.0,0.0
1,2,9,took,9,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9,a,10,Yes,Yes,1.0,198.0,198.0,198.0,198.0,198.0,198.0,1.0,0.0
1,2,9,bow,11,Yes,Yes,1.0,193.0,193.0,193.0,193.0,193.0,193.0,1.0,0.0
1,2,9,after,12,Yes,Yes,1.0,609.0,609.0,609.0,609.0,609.0,609.0,1.0,0.0
1,2,9,the,13,Yes,Yes,1.0,270.0,270.0,270.0,270.0,270.0,270.0,1.0,0.0
1,2,9,show.,14,Yes,Yes,1.0,223.0,223.0,223.0,223.0,223.0,2546.0,1.0,1.0
1,2,10,The,0,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,juggler,1,No,No,1.0,293.0,293.0,293.0,293.0,293.0,293.0,1.0,0.0
1,2,10,entertained,2,No,No,1.0,626.0,626.0,626.0,626.0,626.0,626.0,1.0,0.0
1,2,10,the,3,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,"children,",4,No,No,1.0,871.0,871.0,871.0,871.0,871.0,871.0,1.0,0.0
1,2,10,and,5,No,No,1.0,301.0,301.0,301.0,301.0,301.0,301.0,1.0,0.0
1,2,10,their,6,No,No,1.0,622.0,622.0,622.0,622.0,622.0,622.0,1.0,0.0
1,2,10,parents,7,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,drank,8,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,wine,9,No,No,1.0,456.0,456.0,456.0,456.0,456.0,456.0,1.0,0.0
1,2,10,at,10,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,the,11,No,No,1.0,227.0,227.0,227.0,227.0,227.0,227.0,1.0,0.0
1,2,10,party.,12,No,No,1.0,199.0,199.0,199.0,199.0,199.0,199.0,1.0,0.0
1,2,11,The,0,No,No,1.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,11,woman,1,No,No,1.0,278.0,654.0,278.0,654.0,654.0,1254.0,1.0,1.0
1,2,11,dressed,2,No,No,1.0,376.0,376.0,376.0,376.0,376.0,376.0,1.0,0.0
1,2,11,her,3,No,No,1.0,248.0,248.0,248.0,248.0,248.0,248.0,1.0,0.0
1,2,11,"baby,",4,No,No,1.0,500.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0
1,2,11,and,5,No,No,1.0,178.0,178.0,178.0,178.0,178.0,178.0,1.0,0.0
1,2,11,her,6,No,No,1.0,522.0,522.0,522.0,522.0,522.0,522.0,1.0,0.0
