expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_pass_time,FPFix,FPReg
1,4,60,Amy,0,yes,--,,,,,,,,,
1,4,60,will,1,yes,--,,,,,,,,,
1,4,60,visit,2,yes,--,,,,,,,,,
1,4,60,the,3,yes,--,,,,,,,,,
1,4,60,man,4,yes,--,,,,,,,,,
1,4,60,she,5,yes,--,,,,,,,,,
1,4,60,worked,6,yes,--,,,,,,,,,
1,4,60,with,7,yes,--,,,,,,,,,
1,4,60,last,8,yes,--,,,,,,,,,
1,4,60,"month,",9,yes,--,,,,,,,,,
1,4,60,but,10,yes,--,,,,,,,,,
1,4,60,she,11,yes,--,,,,,,,,,
1,4,60,is,12,yes,--,,,,,,,,,
1,4,60,nervous,13,yes,--,,,,,,,,,
1,4,60,about,14,yes,--,,,,,,,,,
1,4,60,it.,15,yes,--,,,,,,,,,
1,4,59,Paul,0,yes,--,,,,,,,,,
1,4,59,will,1,yes,--,,,,,,,,,
1,4,59,marry,2,yes,--,,,,,,,,,
1,4,59,the,3,yes,--,,,,,,,,,
1,4,59,woman,4,yes,--,,,,,,,,,
1,4,59,he,5,yes,--,,,,,,,,,
1,4,59,just,6,yes,--,,,,,,,,,
1,4,59,met,7,yes,--,,,,,,,,,
1,4,59,last,8,yes,--,,,,,,,,,
1,4,59,"month,",9,yes,--,,,,,,,,,
1,4,59,but,10,yes,--,,,,,,,,,
1,4,59,the,11,yes,--,,,,,,,,,
1,4,59,wedding,12,yes,--,,,,,,,,,
1,4,59,will,13,yes,--,,,,,,,,,
1,4,59,be,14,yes,--,,,,,,,,,
1,4,59,small.,15,yes,--,,,,,,,,,
1,4,58,Dan,0,no,--,,,,,,,,,
1,4,58,wrote,1,no,--,,,,,,,,,
1,4,58,the,2,no,--,,,,,,,,,
1,4,58,speech,3,no,--,,,,,,,,,
1,4,58,he,4,no,--,,,,,,,,,
1,4,58,will,5,no,--,,,,,,,,,
1,4,58,deliver,6,no,--,,,,,,,,,
1,4,58,next,7,no,--,,,,,,,,,
1,4,58,"month,",8,no,--,,,,,,,,,
1,4,58,but,9,no,--,,,,,,,,,
1,4,58,he,10,no,--,,,,,,,,,
1,4,58,hasn't,11,no,--,,,,,,,,,
1,4,58,practiced,12,no,--,,,,,,,,,
1,4,58,it,13,no,--,,,,,,,,,
1,4,58,yet.,14,no,--,,,,,,,,,
1,4,57,Jeff,0,no,--,,,,,,,,,
1,4,57,planned,1,no,--,,,,,,,,,
1,4,57,the,2,no,--,,,,,,,,,
1,4,57,party,3,no,--,,,,,,,,,
1,4,57,he,4,no,--,,,,,,,,,
1,4,57,will,5,no,--,,,,,,,,,
1,4,57,hold,6,no,--,,,,,,,,,
1,4,57,next,7,no,--,,,,,,,,,
1,4,57,"month,",8,no,--,,,,,,,,,
1,4,57,but,9,no,--,,,,,,,,,
1,4,57,he,10,no,--,,,,,,,,,
1,4,57,hasn't,11,no,--,,,,,,,,,
1,4,57,sent,12,no,--,,,,,,,,,
1,4,57,invitations.,13,no,--,,,,,,,,,
1,2,36,The,0,yes,--,,,,,,,,,
1,2,36,crowd,1,yes,--,,,,,,,,,
1,2,36,cheered,2,yes,--,,,,,,,,,
1,2,36,for,3,yes,--,,,,,,,,,
1,2,36,the,4,yes,--,,,,,,,,,
1,2,36,"model,",5,yes,--,,,,,,,,,
1,2,36,and,6,yes,--,,,,,,,,,
1,2,36,the,7,yes,--,,,,,,,,,
1,2,36,designer,8,yes,--,,,,,,,,,
1,2,36,took,9,yes,--,,,,,,,,,
1,2,36,a,10,yes,--,,,,,,,,,
1,2,36,bow,11,yes,--,,,,,,,,,
1,2,36,after,12,yes,--,,,,,,,,,
1,2,36,the,13,yes,--,,,,,,,,,
1,2,36,show.,14,yes,--,,,,,,,,,
1,2,35,The,0,no,--,,,,,,,,,
1,2,35,juggler,1,no,--,,,,,,,,,
1,2,35,entertained,2,no,--,,,,,,,,,
1,2,35,the,3,no,--,,,,,,,,,
1,2,35,"children,",4,no,--,,,,,,,,,
1,2,35,and,5,no,--,,,,,,,,,
1,2,35,their,6,no,--,,,,,,,,,
1,2,35,parents,7,no,--,,,,,,,,,
1,2,35,drank,8,no,--,,,,,,,,,
1,2,35,wine,9,no,--,,,,,,,,,
