expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_past_time,FPFix,FPReg
2,1,19,"Interestingly,",0,No,No,1.0,401.0,401.0,401.0,401.0,401.0,401.0,1.0,0.0
2,1,19,the,1,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,heaviest,2,No,No,1.0,249.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0
2,1,19,isotopes,3,No,No,1.0,301.0,301.0,301.0,301.0,301.0,301.0,1.0,0.0
2,1,19,physicists,4,No,No,1.0,400.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0
2,1,19,have,5,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,managed,6,No,No,1.0,401.0,401.0,401.0,401.0,401.0,401.0,1.0,0.0
2,1,19,to,7,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,synthesize,8,No,No,1.0,350.0,350.0,350.0,350.0,350.0,350.0,1.0,0.0
2,1,19,so,9,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,far,10,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,don't,11,No,No,1.0,349.0,349.0,349.0,349.0,349.0,349.0,1.0,0.0
2,1,19,behave,12,No,No,1.0,201.0,201.0,201.0,201.0,201.0,201.0,1.0,0.0
2,1,19,quite,13,No,No,1.0,250.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0
2,1,19,like,14,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,science's,15,No,No,1.0,300.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0
2,1,19,best,16,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,current,17,No,No,1.0,351.0,351.0,351.0,351.0,351.0,351.0,1.0,0.0
2,1,19,models,18,No,No,1.0,200.0,400.0,200.0,200.0,200.0,200.0,1.0,0.0
2,1,19,"predict,",19,No,No,1.0,249.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0
2,1,19,so,20,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,stable,21,No,No,1.0,250.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0
2,1,19,superheavy,22,No,No,1.0,699.0,899.0,699.0,699.0,699.0,699.0,1.0,0.0
2,1,19,nuclei,23,No,No,1.0,2050.0,2050.0,2050.0,2050.0,2050.0,2450.0,1.0,1.0
2,1,19,are,24,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,likely,25,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,to,26,No,No,1.0,300.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0
2,1,19,be,27,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,full,28,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,of,29,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,surprises.,30,No,No,1.0,349.0,550.0,349.0,349.0,349.0,349.0,1.0,0.0
2,1,19,Chemists,31,No,No,1.0,400.0,650.0,400.0,400.0,400.0,400.0,1.0,0.0
2,1,19,cannot,32,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,even,33,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,predict,34,No,No,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
2,1,19,with,35,No,No,1.0,300.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,any,36,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,certainty,37,No,No,1.0,750.0,949.0,750.0,750.0,750.0,750.0,1.0,0.0
2,1,19,whether,38,No,No,1.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1.0,0.0
2,1,19,these,39,No,No,1.0,301.0,301.0,301.0,301.0,301.0,301.0,1.0,0.0
2,1,19,materials,40,No,No,1.0,650.0,999.0,650.0,650.0,650.0,650.0,1.0,0.0
2,1,19,will,41,No,No,1.0,299.0,299.0,299.0,299.0,299.0,299.0,1.0,0.0
2,1,19,exist,42,No,No,1.0,601.0,601.0,601.0,601.0,601.0,601.0,1.0,0.0
2,1,19,as,43,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,"gases,",44,No,No,1.0,200.0,450.0,200.0,200.0,200.0,200.0,1.0,0.0
2,1,19,"liquids,",45,No,No,1.0,250.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0
2,1,19,or,46,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,solids,47,No,No,1.0,300.0,500.0,300.0,300.0,300.0,300.0,1.0,0.0
2,1,19,at,48,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,room,49,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,temperature.,50,No,No,1.0,550.0,550.0,550.0,550.0,550.0,2500.0,1.0,1.0
2,1,20,Buck,0,No,No,1.0,600.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,did,1,No,No,1.0,199.0,400.0,199.0,199.0,199.0,799.0,1.0,1.0
2,1,20,not,2,No,No,1.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
