expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,J-I,K-I,K-J,right_bounded_rt,right_bounded_rt2,P-O,O-K,go_pass_time,FPFix,FPReg
1,1,1,The,0,No,No,1,505,505,505,0,0,0,505,505,0,0,505,1,0
1,1,1,witness,1,No,No,1,492,492,492,0,0,0,492,492,0,0,492,1,0
1,1,1,identified,2,No,No,1,646,646,646,0,0,0,646,646,0,0,646,1,0
1,1,1,the,3,No,No,1,100,100,100,0,0,0,100,100,0,0,100,1,0
1,1,1,man,4,No,No,1,251,251,251,0,0,0,251,251,0,0,251,1,0
1,1,1,and,5,No,No,1,77,77,77,0,0,0,77,77,0,0,77,1,0
1,1,1,his,6,No,No,1,429,783,429,354,0,-354,429,429,0,0,429,1,0
1,1,1,wife,7,No,No,1,250,799,250,549,0,-549,250,250,0,0,250,1,0
1,1,1,ran,8,No,No,1,117,542,117,425,0,-425,117,117,0,0,117,1,0
1,1,1,away,9,No,No,1,626,1440,626,814,0,-814,626,626,0,0,626,1,0
1,1,1,from,10,No,No,1,150,450,150,300,0,-300,150,150,0,0,150,1,0
1,1,1,the,11,No,No,1,404,529,404,125,0,-125,404,404,0,0,404,1,0
1,1,1,police,12,No,No,1,250,6271,250,6021,0,-6021,250,250,0,0,250,1,0
1,1,1,station.,13,No,No,1,297,297,297,0,0,0,297,297,0,0,8885,1,1
1,1,2,Jenny,0,No,No,1,956,956,956,0,0,0,956,956,0,0,956,1,0
1,1,2,talked,1,No,No,1,331,331,331,0,0,0,331,331,0,0,331,1,0
1,1,2,to,2,No,No,1,83,83,83,0,0,0,83,83,0,0,83,1,0
1,1,2,the,3,No,No,1,141,267,141,126,0,-126,141,141,0,0,141,1,0
1,1,2,reporter,4,No,No,1,1123,1572,1123,449,0,-449,1123,1123,0,0,1123,1,0
1,1,2,and,5,No,No,1,250,250,250,0,0,0,250,250,0,0,250,1,0
1,1,2,the,6,No,No,1,424,424,424,0,0,0,424,424,0,0,424,1,0
1,1,2,photographer,7,No,No,1,800,1122,800,322,0,-322,800,800,0,0,800,1,0
1,1,2,took,8,No,No,1,76,1397,76,1321,0,-1321,76,76,0,0,76,1,0
1,1,2,pictures,9,No,No,1,501,1450,501,949,0,-949,501,501,0,0,501,1,0
1,1,2,of,10,No,No,1,482,482,482,0,0,0,482,482,0,0,2603,1,1
1,1,2,the,11,No,No,1,72,72,0,0,-72,-72,0,0,0,0,0,0,0
1,1,2,scene.,12,No,No,1,529,8130,529,7601,0,-7601,8130,8130,0,7601,9248,1,1
1,1,3,The,0,Yes,Yes,1,293,293,293,0,0,0,293,293,0,0,293,1,0
1,1,3,robber,1,Yes,Yes,1,475,475,475,0,0,0,475,475,0,0,475,1,0
1,1,3,shot,2,Yes,Yes,1,603,603,603,0,0,0,603,603,0,0,603,1,0
1,1,3,the,3,Yes,Yes,1,81,81,81,0,0,0,81,81,0,0,81,1,0
1,1,3,jeweler,4,Yes,Yes,1,841,841,841,0,0,0,841,841,0,0,841,1,0
1,1,3,and,5,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,the,6,Yes,Yes,1,74,74,74,0,0,0,74,74,0,0,74,1,0
1,1,3,salesman,7,Yes,Yes,1,401,401,401,0,0,0,401,401,0,0,401,1,0
1,1,3,reported,8,Yes,Yes,1,379,379,379,0,0,0,379,379,0,0,379,1,0
1,1,3,the,9,Yes,Yes,1,448,448,448,0,0,0,448,448,0,0,448,1,0
1,1,3,crime,10,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,to,11,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,the,12,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,police.,13,Yes,Yes,1,352,352,352,0,0,0,352,352,0,0,352,1,0
1,1,4,The,0,Yes,Yes,1,550,899,550,349,0,-349,550,550,0,0,550,1,0
1,1,4,journalist,1,Yes,Yes,1,400,650,400,250,0,-250,400,400,0,0,400,1,0
1,1,4,criticized,2,Yes,Yes,1,972,1171,972,199,0,-199,972,972,0,0,972,1,0
1,1,4,Nick,3,Yes,Yes,1,406,607,406,201,0,-201,406,406,0,0,406,1,0
1,1,4,and,4,Yes,Yes,1,431,431,0,0,-431,-431,0,0,0,0,0,0,0
1,1,4,Sam,5,Yes,Yes,1,629,749,629,120,0,-120,629,629,0,0,629,1,0
1,1,4,called,6,Yes,Yes,1,500,780,500,280,0,-280,500,500,0,0,500,1,0
1,1,4,the,7,Yes,Yes,1,249,419,249,170,0,-170,249,249,0,0,249,1,0
1,1,4,newspaper,8,Yes,Yes,1,198,694,198,496,0,-496,198,198,0,0,198,1,0
1,1,4,to,9,Yes,Yes,1,73,73,73,0,0,0,73,73,0,0,73,1,0
1,1,4,complain.,10,Yes,Yes,1,563,979,563,416,0,-416,979,979,0,416,3475,1,1
1,1,5,Sam,0,Yes,Yes,1,772,772,772,0,0,0,772,772,0,0,772,1,0
1,1,5,hired,1,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,the,2,Yes,Yes,1,83,83,83,0,0,0,83,83,0,0,83,1,0
1,1,5,plumber,3,Yes,Yes,1,592,592,592,0,0,0,592,592,0,0,592,1,0
1,1,5,and,4,Yes,Yes,1,75,75,75,0,0,0,75,75,0,0,75,1,0
1,1,5,the,5,Yes,Yes,1,427,427,427,0,0,0,427,427,0,0,427,1,0
1,1,5,carpenter,6,Yes,Yes,1,556,556,556,0,0,0,556,556,0,0,556,1,0
1,1,5,ordered,7,Yes,Yes,1,143,143,143,0,0,0,143,143,0,0,143,1,0
1,1,5,the,8,Yes,Yes,1,408,408,408,0,0,0,408,408,0,0,408,1,0
1,1,5,materials,9,Yes,Yes,1,542,542,542,0,0,0,542,542,0,0,542,1,0
1,1,5,for,10,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,the,11,Yes,Yes,1,308,308,308,0,0,0,308,308,0,0,308,1,0
1,1,5,house.,12,Yes,Yes,1,4599,4599,4599,0,0,0,4599,4599,0,0,4599,1,0
1,1,6,The,0,Yes,Yes,1,451,451,0,0,-451,-451,0,0,0,0,0,0,0
1,1,6,police,1,Yes,Yes,1,150,379,150,229,0,-229,379,379,0,229,830,1,1
1,1,6,arrested,2,Yes,Yes,1,370,370,370,0,0,0,370,370,0,0,370,1,0
1,1,6,the,3,Yes,Yes,1,100,100,100,0,0,0,100,100,0,0,100,1,0
1,1,6,burglar,4,Yes,Yes,1,730,730,730,0,0,0,730,730,0,0,730,1,0
1,1,6,and,5,Yes,Yes,1,95,95,95,0,0,0,95,95,0,0,95,1,0
1,1,6,his,6,Yes,Yes,1,251,251,251,0,0,0,251,251,0,0,251,1,0
1,1,6,brother,7,Yes,Yes,1,174,174,174,0,0,0,174,174,0,0,174,1,0
1,1,6,phoned,8,Yes,Yes,1,551,551,551,0,0,0,551,551,0,0,551,1,0
1,1,6,a,9,Yes,Yes,1,774,774,774,0,0,0,774,774,0,0,774,1,0
1,1,6,lawyer,10,Yes,Yes,1,425,425,425,0,0,0,425,425,0,0,425,1,0
1,1,6,for,11,Yes,Yes,1,452,452,452,0,0,0,452,452,0,0,452,1,0
1,1,6,help.,12,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,The,0,No,No,1,1178,1602,1178,424,0,-424,1178,1178,0,0,1178,1,0
1,1,7,knight,1,No,No,1,150,1078,150,928,0,-928,150,150,0,0,150,1,0
1,1,7,greeted,2,No,No,1,773,1470,773,697,0,-697,1470,1470,0,697,2822,1,1
1,1,7,the,3,No,No,1,101,101,101,0,0,0,101,101,0,0,101,1,0
1,1,7,king,4,No,No,1,299,299,299,0,0,0,299,299,0,0,299,1,0
1,1,7,and,5,No,No,1,300,300,300,0,0,0,300,300,0,0,300,1,0
1,1,7,the,6,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,queen,7,No,No,1,500,500,500,0,0,0,500,500,0,0,500,1,0
1,1,7,waved,8,No,No,1,528,528,528,0,0,0,528,528,0,0,528,1,0
1,1,7,to,9,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,her,10,No,No,1,130,130,130,0,0,0,130,130,0,0,130,1,0
1,1,7,people,11,No,No,1,572,572,572,0,0,0,572,572,0,0,572,1,0
1,1,7,at,12,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,the,13,No,No,1,4619,4619,4619,0,0,0,4619,4619,0,0,4619,1,0
1,1,7,feast.,14,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,The,0,Yes,Yes,1,776,776,0,0,-776,-776,0,0,0,0,0,0,0
1,1,8,customer,1,Yes,Yes,1,266,399,266,133,0,-133,399,399,0,133,1175,1,1
1,1,8,complained,2,Yes,Yes,1,850,850,850,0,0,0,850,850,0,0,850,1,0
1,1,8,about,3,Yes,Yes,1,467,467,467,0,0,0,467,467,0,0,467,1,0
1,1,8,the,4,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,waiter,5,Yes,Yes,1,975,975,975,0,0,0,975,975,0,0,975,1,0
1,1,8,and,6,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,the,7,Yes,Yes,1,376,376,376,0,0,0,376,376,0,0,376,1,0
1,1,8,chef,8,Yes,Yes,1,133,133,133,0,0,0,133,133,0,0,133,1,0
1,1,8,gave,9,Yes,Yes,1,500,500,500,0,0,0,500,500,0,0,500,1,0
1,1,8,him,10,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,a,11,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,free,12,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,dessert.,13,Yes,Yes,1,873,873,873,0,0,0,873,873,0,0,873,1,0
1,2,9,The,0,Yes,Yes,1,501,501,501,0,0,0,501,501,0,0,501,1,0
1,2,9,crowd,1,Yes,Yes,1,303,303,303,0,0,0,303,303,0,0,303,1,0
1,2,9,cheered,2,Yes,Yes,1,166,166,166,0,0,0,166,166,0,0,166,1,0
1,2,9,for,3,Yes,Yes,1,531,531,531,0,0,0,531,531,0,0,531,1,0
1,2,9,the,4,Yes,Yes,1,71,71,71,0,0,0,71,71,0,0,71,1,0
1,2,9,"model,",5,Yes,Yes,1,930,930,930,0,0,0,930,930,0,0,930,1,0
1,2,9,and,6,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,the,7,Yes,Yes,1,229,229,229,0,0,0,229,229,0,0,229,1,0
1,2,9,designer,8,Yes,Yes,1,453,453,453,0,0,0,453,453,0,0,453,1,0
1,2,9,took,9,Yes,Yes,1,618,618,618,0,0,0,618,618,0,0,618,1,0
1,2,9,a,10,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,bow,11,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,after,12,Yes,Yes,1,79,79,79,0,0,0,79,79,0,0,79,1,0
1,2,9,the,13,Yes,Yes,1,522,522,522,0,0,0,522,522,0,0,522,1,0
1,2,9,show.,14,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,10,The,0,No,No,1,557,557,0,0,-557,-557,0,0,0,0,0,0,0
1,2,10,juggler,1,No,No,1,719,719,0,0,-719,-719,0,0,0,0,0,0,0
1,2,10,entertained,2,No,No,1,322,1303,322,981,0,-981,1303,1303,0,981,2579,1,1
1,2,10,the,3,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,10,"children,",4,No,No,1,351,351,351,0,0,0,351,351,0,0,351,1,0
1,2,10,and,5,No,No,1,131,331,131,200,0,-200,331,331,0,200,331,1,0
1,2,10,their,6,No,No,1,74,74,74,0,0,0,74,74,0,0,74,1,0
1,2,10,parents,7,No,No,1,226,226,226,0,0,0,226,226,0,0,226,1,0
1,2,10,drank,8,No,No,1,378,378,378,0,0,0,378,378,0,0,378,1,0
1,2,10,wine,9,No,No,1,323,323,323,0,0,0,323,323,0,0,323,1,0
1,2,10,at,10,No,No,1,128,128,128,0,0,0,128,128,0,0,128,1,0
1,2,10,the,11,No,No,1,493,493,493,0,0,0,493,493,0,0,493,1,0
1,2,10,party.,12,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,11,The,0,No,No,1,401,401,0,0,-401,-401,0,0,0,0,0,0,0
1,2,11,woman,1,No,No,1,100,300,0,200,-100,-300,0,0,0,0,0,0,0
1,2,11,dressed,2,No,No,1,249,594,249,345,0,-345,522,522,0,273,1223,1,1
1,2,11,her,3,No,No,1,357,357,357,0,0,0,357,357,0,0,429,1,1
1,2,11,"baby,",4,No,No,1,549,549,549,0,0,0,549,549,0,0,549,1,0
1,2,11,and,5,No,No,1,474,474,474,0,0,0,474,474,0,0,474,1,0
1,2,11,her,6,No,No,1,107,107,107,0,0,0,107,107,0,0,107,1,0
1,2,11,son,7,No,No,1,153,153,153,0,0,0,153,153,0,0,153,1,0
1,2,11,got,8,No,No,1,440,440,440,0,0,0,440,440,0,0,440,1,0
1,2,11,his,9,No,No,1,126,126,126,0,0,0,126,126,0,0,126,1,0
1,2,11,clothes,10,No,No,1,280,280,280,0,0,0,280,280,0,0,280,1,0
1,2,11,from,11,No,No,1,170,170,170,0,0,0,170,170,0,0,170,1,0
1,2,11,the,12,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,11,dresser.,13,No,No,1,4212,4212,4212,0,0,0,4212,4212,0,0,4212,1,0
1,2,12,Diane,0,Yes,Yes,1,483,483,483,0,0,0,483,483,0,0,483,1,0
1,2,12,hugged,1,Yes,Yes,1,667,667,667,0,0,0,667,667,0,0,667,1,0
1,2,12,her,2,Yes,Yes,1,100,100,100,0,0,0,100,100,0,0,100,1,0
1,2,12,"boyfriend,",3,Yes,Yes,1,579,579,579,0,0,0,579,579,0,0,579,1,0
1,2,12,and,4,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,12,her,5,Yes,Yes,1,150,150,150,0,0,0,150,150,0,0,150,1,0
1,2,12,friend,6,Yes,Yes,1,451,451,451,0,0,0,451,451,0,0,451,1,0
1,2,12,felt,7,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,12,uncomfortable,8,Yes,Yes,1,520,520,520,0,0,0,520,520,0,0,520,1,0
1,2,12,watching,9,Yes,Yes,1,399,399,399,0,0,0,399,399,0,0,399,1,0
1,2,12,them.,10,Yes,Yes,1,5173,5173,5173,0,0,0,5173,5173,0,0,5173,1,0
1,2,13,The,0,Yes,Yes,1,1318,1318,0,0,-1318,-1318,0,0,0,0,0,0,0
1,2,13,producer,1,Yes,Yes,1,10980,13030,10980,2050,0,-2050,13030,13030,0,2050,14348,1,1
1,2,13,replaced,2,Yes,Yes,1,400,400,400,0,0,0,400,400,0,0,400,1,0
1,2,13,the,3,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,13,"actor,",4,Yes,Yes,1,83,1634,83,1551,0,-1551,83,83,0,0,83,1,0
1,2,13,and,5,Yes,Yes,1,497,568,497,71,0,-71,497,497,0,0,593,1,1
1,2,13,the,6,Yes,Yes,1,400,400,0,0,-400,-400,0,0,0,0,0,0,0
