"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean","Coordination",-1,"gaze_duration","MoTR",0.0118443167205726,-0.0141117137496375,-0.037350915,0.00986512875,-6.11105680275923,-16.303264588153,4.32731418210078
"mean1","Coordination",0,"gaze_duration","MoTR",0.0422107713606965,0.088189339562175,0.01298389,0.1811124,46.6288908908388,6.88082826163249,97.8469919945421
"mean2","Coordination",1,"gaze_duration","MoTR",0.033435618420309,0.067964572265075,0.00743248925,0.13974125,35.7976292580333,3.86282345617269,74.6669383775977
"mean3","Coordination",2,"gaze_duration","MoTR",0.0373700110180235,0.0132325370995175,-0.0491908925,0.102758375,6.81554058930331,-25.3317395276174,53.1171914707263
"mean4","Coordination",-1,"go_past_time","MoTR",0.0146960120618238,-0.0096387541756325,-0.0378122475,0.0199853,-4.51117622441344,-17.9570423185235,9.65318745740501
"mean5","Coordination",0,"go_past_time","MoTR",0.0409165934445773,0.080320298059,0.00684488275,0.16781325,43.079981144664,3.91042487968221,92.7852728582886
"mean6","Coordination",1,"go_past_time","MoTR",0.0409883950369502,0.076053452605925,-0.000280296125,0.161001175,41.4632316100586,-0.157038892084191,89.4703830906848
"mean7","Coordination",2,"go_past_time","MoTR",0.0373700001504514,0.05014905706825,-0.0241392,0.122176125,29.5326363948425,-14.0451172650583,72.7252658841091
"mean8","Coordination",-1,"go_past_time","G-Maze",0.033043739590711,0.00634387849625,-0.0593656025,0.0724290275,5.2177114018232,-48.3546395115221,58.7442790597619
"mean9","Coordination",0,"go_past_time","G-Maze",0.0326682947955183,-0.0166882525927475,-0.0801304925,0.048481495,-22.9613117624119,-112.461550212844,68.3618842966828
"mean10","Coordination",1,"go_past_time","G-Maze",0.0228954865885996,0.00220570187529,-0.04316642,0.0463766925,2.18376337428452,-42.1125349264579,45.7507668691872
"mean11","Coordination",2,"go_past_time","G-Maze",0.0230554854784042,-0.020205430432375,-0.0666281025,0.0250552925,-18.3822941896225,-61.0531478168616,23.1593154206931
"mean12","Coordination",-1,"go_past_time","A-Maze",0.0291030872035329,-0.0059784462665325,-0.063954905,0.054292615,-4.01417185007739,-44.7778578930965,37.7406095867549
"mean13","Coordination",0,"go_past_time","A-Maze",0.0314367739014397,0.087777266005,0.02740057,0.150186625,106.059220297484,32.1781958757139,185.134518036449
"mean14","Coordination",1,"go_past_time","A-Maze",0.0209500487763226,-0.024361544028425,-0.0660417925,0.017201965,-20.6586472270363,-55.941780578074,14.4898516744793
"mean15","Coordination",2,"go_past_time","A-Maze",0.015424008996784,0.003623597811682,-0.0261173225,0.0333475875,2.76182260218756,-19.8966918794118,25.4513725678105
"mean16","Coordination",-1,"go_past_time","SPR",0.0234305755202519,-0.0165389251238875,-0.0628148975,0.030268435,-8.67158259869435,-33.4544201786866,15.8956566722317
"mean17","Coordination",0,"go_past_time","SPR",0.0249551170771545,0.0089141016401,-0.04188263,0.056943935,4.7690092848968,-22.785702726095,30.8767114013157
"mean18","Coordination",1,"go_past_time","SPR",0.0298754388929545,0.021995942313325,-0.036254535,0.0799552425,11.6864168867336,-18.921030746128,42.7350440153796
"mean19","Coordination",2,"go_past_time","SPR",0.021507844657922,0.028496657082825,-0.0115876525,0.0713289,15.1015495823812,-6.22870271311708,38.5058705534037
"mean20","Coordination",-1,"total_duration","MoTR",0.0186737393190101,0.043512030725975,0.0066808045,0.081552895,22.2026794054553,3.45266381738498,42.1829332871253
"mean21","Coordination",0,"total_duration","MoTR",0.0384822283052987,0.104612942525,0.03527353,0.186974475,58.1675610711462,19.6279154793863,106.881873181903
"mean22","Coordination",1,"total_duration","MoTR",0.0350356120525304,0.092414945562,0.027363915,0.16570575,50.1569945723854,14.746886408586,92.498253901622
"mean23","Coordination",2,"total_duration","MoTR",0.0426605261890191,0.051434385858975,-0.0298369825,0.138361675,26.7056118250013,-15.6711897609745,73.914069931935
"mean24","Coordination",-1,"FPReg","MoTR",0.215376210943905,-0.098539574845425,-0.518007925,0.322642975,-0.0117781918381749,-0.0617292259716252,0.0396592818181576
"mean25","Coordination",0,"FPReg","MoTR",0.443560958603168,-0.01529752635075,-0.934469225,0.8095921,-0.0000317774289075884,-0.0110956578721135,0.0107814684456455
"mean26","Coordination",1,"FPReg","MoTR",0.39373670413152,0.3375079902395,-0.43515245,1.1023375,0.00658328511465346,-0.00770660569560887,0.0231194618619242
"mean27","Coordination",2,"FPReg","MoTR",0.194360063744021,0.32253110038475,-0.071301945,0.7070011,0.0535747086566106,-0.0108261509463426,0.120903943052214
"mean28","Relative Clause",-1,"gaze_duration","MoTR",0.0143508822407365,-0.0020156841324175,-0.029033445,0.0269329525,-0.83802212984612,-12.5280291833522,11.7651762917592
"mean29","Relative Clause",0,"gaze_duration","MoTR",0.0206497973817029,0.0393104701632,-0.000238864549999999,0.0797400075,17.8690686207171,-0.111893461757709,36.2931409608085
"mean30","Relative Clause",1,"gaze_duration","MoTR",0.0321898097574658,0.027253129310575,-0.0322669725,0.0967325225,13.8318655931162,-16.6655502111227,50.1179795508086
