"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean","Coordination",-1,"gaze_duration","MoTR",0.00989978641070853,-0.01270767834825,-0.031852155,0.00725122075000001,-5.13165659225599,-12.94307479386,2.93856625174073
"mean1","Coordination",0,"gaze_duration","MoTR",0.0224219215615262,0.060651392181,0.01590457,0.10404245,23.6962522461993,6.03602928826452,42.2771273951509
"mean2","Coordination",1,"gaze_duration","MoTR",0.0171197131017239,0.054266962814775,0.0219623725,0.0884708475,20.9283725323599,8.40322723156171,35.321726102779
"mean3","Coordination",2,"gaze_duration","MoTR",0.0181357785860285,-0.019276631935425,-0.0549369025,0.016880785,-6.75221459911736,-19.1638948073016,6.02211836258994
"mean4","Coordination",-1,"go_past_time","MoTR",0.012460494626366,-0.018428127438662,-0.04296006,0.00562652825000001,-8.15143405629233,-19.0692027805676,2.48539308194967
"mean5","Coordination",0,"go_past_time","MoTR",0.0235037242915138,0.06662166508265,0.02146835,0.113336525,27.2846201130785,8.85323465763481,46.9310097554553
"mean6","Coordination",1,"go_past_time","MoTR",0.0202133512368764,0.0761841006225,0.0372320825,0.116469575,32.4950280834776,15.6102485729187,50.9419940907731
"mean7","Coordination",2,"go_past_time","MoTR",0.0317347187201581,0.0607054899056,-0.00371997325,0.120190775,34.4274627140828,-2.08414415666943,68.8834938898528
"mean8","Coordination",-1,"go_past_time","G-Maze",0.0320831606811994,0.0053200844721175,-0.0556951925,0.0684288375,4.38144944546849,-45.0667412403261,56.7195419160586
"mean9","Coordination",0,"go_past_time","G-Maze",0.0339944241871145,-0.016996939262875,-0.0842566925,0.0515256125,-23.1783404166598,-116.129861784589,72.7971868883812
"mean10","Coordination",1,"go_past_time","G-Maze",0.02235540301338,0.0027011510890975,-0.0409050725,0.0456689875,2.65920287454062,-39.2320232436386,44.8101444813326
"mean11","Coordination",2,"go_past_time","G-Maze",0.0233270202230479,-0.0202632125063625,-0.0667599025,0.0277557975,-18.324148390466,-60.1748098926695,25.6096540217522
"mean12","Coordination",-1,"go_past_time","A-Maze",0.0278976190003715,-0.00707753035975,-0.0625152625,0.0474175675,-4.72491362401985,-42.382646161071,33.7796616551097
"mean13","Coordination",0,"go_past_time","A-Maze",0.0314141344815965,0.08735864459,0.0260841075,0.149264125,105.563114271065,31.3011035848629,184.445104222868
"mean14","Coordination",1,"go_past_time","A-Maze",0.0218131098267288,-0.023466022857725,-0.0656000575,0.01957093,-19.8035806638437,-55.3741924484064,15.9201094219773
"mean15","Coordination",2,"go_past_time","A-Maze",0.0154445235859732,0.0035382384976075,-0.0270428975,0.0342019425,2.70299699145286,-20.454545597084,26.1799072918733
"mean16","Coordination",-1,"go_past_time","SPR",0.0201144977385006,-0.0026567960650025,-0.0415891375,0.0366425225,-1.13131924116164,-16.8280255141003,14.2865969497464
"mean17","Coordination",0,"go_past_time","SPR",0.0237963881196022,0.009033078513865,-0.03818361,0.0574405825,3.60482494251159,-15.4741606221652,23.2184592577974
"mean18","Coordination",1,"go_past_time","SPR",0.0257212028296498,0.021304083181365,-0.0299043825,0.07309954,8.36589651782147,-11.7674602050506,29.0336803660216
"mean19","Coordination",2,"go_past_time","SPR",0.01915802221122,0.025520373741625,-0.0117086875,0.0631092625,10.4834891739043,-4.75624445733228,26.2647218269951
"mean20","Coordination",-1,"total_duration","MoTR",0.0163458147412212,0.039716490119025,0.0069943345,0.0713127925,19.1696450197909,3.26979831112831,34.5745635614975
"mean21","Coordination",0,"total_duration","MoTR",0.0251225522469303,0.0913821244275,0.0416433225,0.1410889,41.9186719097112,18.3893926422871,66.5544644198678
"mean22","Coordination",1,"total_duration","MoTR",0.0210554522698377,0.07425520831,0.03195799,0.116079925,32.1963855632786,13.5439054980441,52.0755907825478
"mean23","Coordination",2,"total_duration","MoTR",0.0241028208617524,0.0069518478491425,-0.039484895,0.0565235475,2.75279512027556,-15.3159056739277,21.8779459497576
"mean24","Coordination",-1,"FPReg","MoTR",0.164642190844476,-0.0554499588075,-0.378351325,0.283025325,-0.00702206104751972,-0.0476423329054219,0.0351695968910957
"mean25","Coordination",0,"FPReg","MoTR",0.331154332410336,0.361375890559375,-0.328697775,0.9918816,0.00606133951711886,-0.00498497543693725,0.0177279173982778
"mean26","Coordination",1,"FPReg","MoTR",0.351554888744361,0.9968768144425,0.32694565,1.7273185,0.0196219308668423,0.00608172513454607,0.0376723387847634
"mean27","Coordination",2,"FPReg","MoTR",0.155033991247111,0.4084783645725,0.107278575,0.715609225,0.0718559421650109,0.0178238818006533,0.128329637763616
"mean28","Relative Clause",-1,"gaze_duration","MoTR",0.0100111152539164,-0.006141833681977,-0.02617999,0.0136032825,-2.47548315614232,-10.5140825864134,5.49195420359331
"mean29","Relative Clause",0,"gaze_duration","MoTR",0.0166412262006792,0.0349306073505,0.002773214,0.067086785,14.8783352322693,1.15330570674443,28.6557159420173
"mean30","Relative Clause",1,"gaze_duration","MoTR",0.0181918395020507,0.020257203729775,-0.0159139225,0.0551304125,7.78763736988484,-6.18793975122853,21.1621783067286
"mean31","Relative Clause",2,"gaze_duration","MoTR",0.0159616396063513,0.0073455944183725,-0.0234053325,0.03861015,2.84324755796432,-8.95613503101015,14.8585155845129
"mean32","Relative Clause",-1,"go_past_time","MoTR",0.0128638335245477,0.006898159916195,-0.0182235325,0.03204814,3.01308916559035,-8.11043992050543,14.0027501789568
"mean33","Relative Clause",0,"go_past_time","MoTR",0.020428566940511,0.05796960643759,0.01806065,0.09837954,26.9422768767199,8.34926687529651,46.0680819047761
"mean34","Relative Clause",1,"go_past_time","MoTR",0.0260803547834878,0.04568479146413,-0.00596701725,0.0965994225,19.494937041853,-2.53456777474332,41.9129898426742
"mean35","Relative Clause",2,"go_past_time","MoTR",0.0268871727573651,0.01218615683855,-0.0426296425,0.06333151,6.72725243315279,-23.4341298247098,35.2332664151384
"mean36","Relative Clause",-1,"go_past_time","G-Maze",0.0345997446339247,-0.0283675481494625,-0.0959141025,0.0384492975,-21.6081280312543,-72.8046193773888,30.8300082163986
"mean37","Relative Clause",0,"go_past_time","G-Maze",0.034443560145927,0.115914539765,0.04857195,0.183063175,113.447993009572,47.5413003505843,181.282291313153
"mean38","Relative Clause",1,"go_past_time","G-Maze",0.0304048576477346,0.060245708456575,-0.0000132439499999984,0.1206239,61.9461166548734,-0.013090339329271,126.829168388451
"mean39","Relative Clause",2,"go_past_time","G-Maze",0.0311963556567688,-0.0408877593215925,-0.100794675,0.02091074,-41.1243437385781,-102.707934194914,20.5109419738497
