"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean","Coordination",-1,"gaze_duration","MoTR",0.0101069526652179,-0.01206575678314,-0.0314996475,0.009092587,-4.79134049093603,-12.5593356941641,3.61039130741312
"mean1","Coordination",0,"gaze_duration","MoTR",0.0239200550929521,0.0534691617072,0.005405756,0.1003378,19.4290918557099,1.94337395809944,36.540238288453
"mean2","Coordination",1,"gaze_duration","MoTR",0.0171564658303015,0.047670937281,0.01334444,0.0808206425,16.8999931162269,4.64096228335234,28.9646992033054
"mean3","Coordination",2,"gaze_duration","MoTR",0.0176757416886352,-0.0230126225972725,-0.0586409775,0.011677765,-7.82122166854019,-19.684577799129,3.97861205480318
"mean4","Coordination",-1,"go_past_time","MoTR",0.012905332304495,-0.0179319301462825,-0.0424314725,0.00740665350000001,-7.79296860772929,-18.4371145218054,3.22310779991503
"mean5","Coordination",0,"go_past_time","MoTR",0.0239337616039641,0.06001096912075,0.01170073,0.105890725,23.0391091660058,4.42168497206232,40.8399005682555
"mean6","Coordination",1,"go_past_time","MoTR",0.0205327626523866,0.0706774318014,0.0284477975,0.1106512,28.0298069672067,11.2557621745842,44.3304024246484
"mean7","Coordination",2,"go_past_time","MoTR",0.0341534122633636,0.0570899898982512,-0.0092105655,0.12231015,31.2741485837653,-5.15373147612964,67.5996332970425
"mean8","Coordination",-1,"go_past_time","G-Maze",0.0309495236778788,0.0044316239596725,-0.05799023,0.06427105,3.5011343713298,-47.5971703917681,52.9031072586251
"mean9","Coordination",0,"go_past_time","G-Maze",0.0320770660114971,-0.0160315971882175,-0.07956114,0.0465638625,-22.1757128910609,-109.784293740928,65.4816750214913
"mean10","Coordination",1,"go_past_time","G-Maze",0.022065019891802,0.001706862725265,-0.041055085,0.0456983975,1.66617946043746,-39.4507490322932,44.2089958492168
"mean11","Coordination",2,"go_past_time","G-Maze",0.022044147558844,-0.01933743997765,-0.0629856875,0.024217635,-17.611563969791,-57.2739400955176,22.157801684145
"mean12","Coordination",-1,"go_past_time","A-Maze",0.0273820410799013,-0.00671233690535,-0.0607121925,0.045996775,-4.47284062181121,-41.0433084031045,32.2774889629648
"mean13","Coordination",0,"go_past_time","A-Maze",0.0302374850871832,0.0788593789224,0.0202734925,0.13824475,95.1922964645101,23.7583147789709,168.860524615333
