expr_id,cond_id,para_nr,word,word_nr,response_true,sent_rg_id,sent_rg,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
1,8,134,The,0,yes,-1,other,yes,1.0,569.0,569.0,569.0,569.0,569.0,1.0,0.0
1,8,134,children,1,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,134,of,2,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,134,the,3,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,134,rich,4,yes,-1,other,yes,1.0,370.0,370.0,370.0,370.0,370.0,1.0,0.0
1,8,134,man,5,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,134,were,6,yes,-1,other,yes,1.0,310.0,310.0,310.0,310.0,310.0,1.0,0.0
1,8,134,"spoiled,",7,yes,-1,other,yes,1.0,184.0,184.0,184.0,184.0,184.0,1.0,0.0
1,8,134,but,8,yes,-1,other,yes,1.0,256.0,256.0,256.0,256.0,256.0,1.0,0.0
1,8,134,they,9,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,134,were,10,yes,-1,other,yes,1.0,312.0,312.0,312.0,312.0,312.0,1.0,0.0
1,8,134,charming,11,yes,-1,other,yes,1.0,749.0,749.0,749.0,749.0,749.0,1.0,0.0
1,8,134,and,12,yes,-1,other,yes,1.0,189.0,189.0,189.0,189.0,189.0,1.0,0.0
1,8,134,handsome.,13,yes,-1,other,yes,1.0,311.0,311.0,311.0,311.0,311.0,1.0,0.0
1,8,133,"Yesterday,",0,no,-1,other,no,1.0,1498.0,1498.0,1498.0,1498.0,1498.0,1.0,0.0
1,8,133,the,1,no,-1,other,no,1.0,304.0,304.0,304.0,304.0,304.0,1.0,0.0
1,8,133,wife,2,no,-1,other,no,1.0,372.0,372.0,372.0,372.0,372.0,1.0,0.0
1,8,133,of,3,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,133,the,4,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,133,politician,5,no,-1,other,no,1.0,249.0,432.0,249.0,432.0,432.0,1.0,0.0
1,8,133,discussed,6,no,-1,other,no,1.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0
1,8,133,health,7,no,-1,other,no,1.0,372.0,372.0,372.0,372.0,372.0,1.0,0.0
1,8,133,care,8,no,-1,other,no,1.0,194.0,194.0,194.0,194.0,194.0,1.0,0.0
1,8,133,with,9,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,133,old,10,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,133,people.,11,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,132,The,0,yes,-1,other,yes,1.0,622.0,622.0,622.0,622.0,622.0,1.0,0.0
1,8,132,boyfriend,1,yes,-1,other,yes,1.0,439.0,439.0,439.0,439.0,439.0,1.0,0.0
1,8,132,of,2,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,132,the,3,yes,-1,other,yes,1.0,246.0,246.0,246.0,246.0,246.0,1.0,0.0
1,8,132,model,4,yes,-1,other,yes,1.0,440.0,440.0,440.0,440.0,440.0,1.0,0.0
1,8,132,was,5,yes,-1,other,yes,1.0,370.0,370.0,370.0,370.0,370.0,1.0,0.0
1,8,132,killed,6,yes,-1,other,yes,1.0,373.0,373.0,373.0,373.0,373.0,1.0,0.0
1,8,132,in,7,yes,-1,other,yes,1.0,806.0,806.0,806.0,806.0,806.0,1.0,0.0
1,8,132,an,8,yes,-1,other,yes,1.0,182.0,182.0,182.0,182.0,182.0,1.0,0.0
1,8,132,accident,9,yes,-1,other,yes,1.0,686.0,686.0,686.0,686.0,686.0,1.0,0.0
1,8,132,while,10,yes,-1,other,yes,1.0,498.0,498.0,498.0,498.0,498.0,1.0,0.0
1,8,132,skiing,11,yes,-1,other,yes,1.0,493.0,493.0,493.0,493.0,493.0,1.0,0.0
